date,ticker,period_return_20d,was_in_universe,was_selected,was_underweighted,expected_return_rank_pct,signal_rank_pct,volatility_rank_pct,expected_daily_return,signal_strength,quality_score,target_confidence,filter_status,diagnosis
2023-02-07,YPF,0.0441941274322104,True,False,False,0.6086956521739131,0.5217391304347826,0.5217391304347826,-0.0014658336917666,0.6062309028483697,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-02-07,AVGO,0.0289853048014214,True,False,False,0.782608695652174,0.6521739130434783,0.43478260869565216,-0.0019960485643244,0.4651838444980896,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-02-07,CSCO,0.0265468322264412,True,False,False,0.8260869565217391,0.8695652173913043,0.782608695652174,-0.0020080691590646,0.2546636403793288,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-02-14,META,0.1017940979907079,True,True,False,0.6956521739130435,0.5217391304347826,0.4782608695652174,-0.0007476350198965,0.3905482593741889,0.5,0.5,selected,selected
2023-02-14,NVDA,0.0547211672431917,True,False,False,0.08695652173913043,0.08695652173913043,0.8260869565217391,0.0046923205017839,0.8851802167393031,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-02-14,AMD,0.0433973646232908,True,False,False,0.17391304347826086,0.2608695652173913,0.43478260869565216,1.1265990671709836e-05,0.5698056470804452,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-02-14,AVGO,0.0393983353806195,True,False,False,0.9130434782608695,0.5652173913043478,0.6521739130434783,-0.0010596516287574,0.379959142423789,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-02-14,CSCO,0.0285115427379241,True,False,False,0.7391304347826086,1.0,0.17391304347826086,-0.0008455869520418,0.0,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-02-22,NVDA,0.2753204578261721,True,False,False,0.6521739130434783,0.13043478260869565,0.9130434782608695,-8.749609104826537e-05,0.4913039935569477,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-02-22,AMD,0.2737240706648638,True,False,False,0.9130434782608695,0.17391304347826086,0.7391304347826086,-0.0001626737028003,0.4511467137209846,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-02-22,META,0.1676601406034319,True,True,False,0.08695652173913043,0.08695652173913043,0.34782608695652173,0.0016641091191368,0.8296999050503833,0.5,0.5,selected,selected
2023-02-22,GOOGL,0.1278778071530504,True,False,False,0.2608695652173913,0.782608695652174,0.391304347826087,6.526526335513157e-05,2.016196886828868e-05,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-02-22,INTC,0.1044365888937191,True,False,False,0.30434782608695654,0.8260869565217391,0.8695652173913043,5.1538666329298114e-05,1.883026027409531e-05,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-03-01,INTC,0.2443742815910736,True,False,False,0.34782608695652173,0.6956521739130435,0.9130434782608695,7.889896068594329e-05,0.1931793913769924,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-03-01,AMD,0.2273597549394457,True,False,False,0.43478260869565216,0.34782608695652173,0.34782608695652173,3.634893248197389e-05,0.3958590724777354,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-03-01,NVDA,0.188827178902966,True,True,False,0.08695652173913043,0.08695652173913043,0.30434782608695654,0.0015110328513718,0.8259516178082917,0.5,0.5,selected,selected
2023-03-01,META,0.1841195264196935,True,False,False,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0027738739122964,1.0,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-03-01,ADBE,0.1724905619922623,True,False,False,0.782608695652174,0.8260869565217391,0.43478260869565216,-7.188848342074449e-05,0.1931493794626297,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-03-08,INTC,0.2636644499428162,True,False,False,0.30434782608695654,0.8260869565217391,0.8260869565217391,6.183726785442238e-05,0.0739492629104747,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-03-08,META,0.1433205078222639,True,False,False,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.0015289585778,0.8830879658011116,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-03-08,MSFT,0.1207725650698345,True,False,False,0.9130434782608695,0.2608695652173913,0.34782608695652173,-0.0001601428675634,0.4150419679600092,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-03-08,NVDA,0.1116579459162026,True,True,False,0.8260869565217391,0.13043478260869565,0.21739130434782608,-0.0001242739322537,0.687960719884486,0.5,0.5,selected,selected
2023-03-08,GOOGL,0.1084350262143567,True,False,False,0.5217391304347826,0.6521739130434783,0.13043478260869565,-1.5010041831912536e-05,0.1642488080330667,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-03-15,YPF,0.3322545600444431,True,False,False,0.7391304347826086,0.8695652173913043,0.9565217391304348,-8.636377442755266e-05,0.1807744101946511,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-03-15,VIST,0.3161448329705976,True,False,False,0.30434782608695654,0.9130434782608695,0.6521739130434783,7.321358900531934e-05,0.1807699245084529,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-03-15,NFLX,0.1395700915626552,True,False,False,0.13043478260869565,0.6086956521739131,0.43478260869565216,0.0001562526334525,0.2510321874117143,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-03-15,ADBE,0.1354575834826539,True,False,False,0.6086956521739131,1.0,0.8260869565217391,-5.528833682824481e-05,0.0,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-03-15,INTC,0.1309398535967252,True,False,False,0.5217391304347826,0.391304347826087,0.6956521739130435,-1.7924685002706735e-05,0.3721271898825578,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-03-22,VIST,0.2472559687287372,True,False,False,0.6956521739130435,0.391304347826087,0.13043478260869565,-0.0002582264976993,0.3646942946486329,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-03-22,YPF,0.175025486627671,True,False,False,0.30434782608695654,1.0,0.08695652173913043,3.720194606632192e-05,0.0,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-03-22,NFLX,0.1070092045960158,True,False,False,0.782608695652174,0.9565217391304348,0.5217391304347826,-0.0003481211634122,0.086780996754442,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-03-22,INTC,0.0970494678646325,True,False,False,0.6086956521739131,0.8260869565217391,0.21739130434782608,-0.0001027105966141,0.1659336343257414,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-03-22,META,0.0663630945780704,True,False,False,0.2608695652173913,0.2608695652173913,0.34782608695652173,6.373003008118195e-05,0.4890262852405961,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-03-29,META,0.1617238396298717,True,True,False,0.30434782608695654,0.391304347826087,0.17391304347826086,1.4256835736975782e-05,0.5170195943768432,0.5,0.5,selected,selected
2023-03-29,AMZN,0.095461343589269,True,False,False,0.5652173913043478,0.6086956521739131,0.43478260869565216,-0.0001079070656661,0.3139217668609599,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-03-29,MSFT,0.0866991407078867,True,False,False,0.17391304347826086,0.17391304347826086,0.21739130434782608,0.0010695036161889,0.8468499568330474,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-03-29,GOOGL,0.0611499850632721,True,False,False,0.4782608695652174,0.5652173913043478,0.4782608695652174,-9.004200898960752e-05,0.4008040603851058,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-03-29,PEP,0.0499253022852543,True,False,False,0.5217391304347826,0.30434782608695654,0.782608695652174,-9.934509144185476e-05,0.5822566144711016,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2023-04-05,META,0.1042179354557828,True,True,False,0.5652173913043478,0.43478260869565216,0.9130434782608695,-7.842284462471728e-05,0.390448384171548,0.5,0.5,selected,selected
2023-04-05,MSFT,0.0741014545810874,True,False,False,0.34782608695652173,0.21739130434782608,0.782608695652174,5.605857372902838e-05,0.577875442229557,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2023-04-05,CCJ,0.0601593707542971,True,False,False,0.2608695652173913,1.0,0.8260869565217391,0.0001770056465449,0.0,0.5,0.5,not_in_raw_selection,not_in_raw_selection
