model,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,window_start,overlay,average_exposure,average_cash,average_turnover,base_CAGR,base_Sharpe,base_max_drawdown,return_lost_vs_base,DD_improvement_vs_base,CAGR_QQQ,CAGR_SPY,Sharpe_QQQ,Sharpe_SPY,max_drawdown_QQQ,max_drawdown_SPY,beats_SPY_CAGR,beats_QQQ_CAGR,beats_SPY_Sharpe,beats_QQQ_Sharpe
2020-01-01_qqq_trend_filter,2020-12-31,2026-06-10,274,2.9176876881372724,0.2853181448510773,0.28013014445659934,1.0668986020726332,2.2126849239043773,0.6202640474524881,-0.45999465231447667,0.5218978102189781,2020-01-01,qqq_trend_filter,0.5239395067468345,0.47606049325316546,0.09531687539461536,0.2450533203067777,0.9051637876655654,-0.5304990946204275,-0.04026482454429961,0.07050444230595088,0.1808690172478879,0.1540890838405817,0.8961536865574365,0.9791093930144554,-0.3455308094921167,-0.235155470877593,True,True,True,True
2020-01-01_dual_trend_filter,2020-12-31,2026-06-10,274,2.992597479144842,0.28980093763442816,0.27826391336885054,1.0851723169205112,2.251497051751925,0.6491862403725529,-0.44640646953348573,0.5218978102189781,2020-01-01,dual_trend_filter,0.5159103096665426,0.4840896903334574,0.09338561018780271,0.2450533203067777,0.9051637876655654,-0.5304990946204275,-0.04474761732765045,0.08409262508694182,0.1808690172478879,0.1540890838405817,0.8961536865574365,0.9791093930144554,-0.3455308094921167,-0.235155470877593,True,True,True,True
2020-01-01_realized_volatility_filter,2020-12-31,2026-06-10,274,2.6420937522246413,0.26819917693043416,0.2859462706999062,1.0024166759241497,1.9981068619829594,0.5315970768065656,-0.5045158986606408,0.5218978102189781,2020-01-01,realized_volatility_filter,0.5506564062034557,0.4493435937965443,0.10237301113515992,0.2450533203067777,0.9051637876655654,-0.5304990946204275,-0.023145856623656452,0.02598319595978671,0.1808690172478879,0.1540890838405817,0.8961536865574365,0.9791093930144554,-0.3455308094921167,-0.235155470877593,True,True,True,True
2020-01-01_drawdown_aware_trend_filter,2020-12-31,2026-06-10,274,2.871369780444739,0.2825112412801747,0.27992589260862916,1.0592953810883943,2.216796293538307,0.6358714919118574,-0.44428983666299593,0.5218978102189781,2020-01-01,drawdown_aware_trend_filter,0.5255818425132579,0.47441815748674204,0.09507356639218228,0.2450533203067777,0.9051637876655654,-0.5304990946204275,-0.03745792097339698,0.08620925795743162,0.1808690172478879,0.1540890838405817,0.8961536865574365,0.9791093930144554,-0.3455308094921167,-0.235155470877593,True,True,True,True
2022-01-03_base_growth_v2,2023-01-04,2026-06-10,173,4.267322077960164,0.623094239588079,0.33379694509896574,1.6734005026226084,3.0247102965164303,2.106540137777737,-0.29579034760068845,0.5780346820809249,2022-01-03,base_growth_v2,0.5811131486040317,0.41888685139596826,0.10411736361513697,0.6230942395880805,1.6734005026226084,-0.2957903476006885,1.5543122344752192e-15,5.551115123125783e-17,0.3620005007189801,0.2342439163780207,1.709883790015218,1.5200669309283776,-0.2274681874918649,-0.1856390139309361,True,True,True,False
2022-01-03_spy_trend_filter,2023-01-04,2026-06-10,173,4.387123322988102,0.6337696848782703,0.326837391587093,1.7225830832614344,3.1937714511122732,2.61723030917924,-0.24215281423858326,0.5780346820809249,2022-01-03,spy_trend_filter,0.5593305092306532,0.4406694907693466,0.09765599699823074,0.6230942395880805,1.6734005026226084,-0.2957903476006885,-0.010675445290189822,0.05363753336210525,0.3620005007189801,0.2342439163780207,1.709883790015218,1.5200669309283776,-0.2274681874918649,-0.1856390139309361,True,True,True,True
2022-01-03_qqq_trend_filter,2023-01-04,2026-06-10,173,4.416949824408596,0.6364013184936179,0.32480732474946966,1.7365309087506215,3.2044196468560915,2.4391283349114103,-0.2609134211532712,0.5780346820809249,2022-01-03,qqq_trend_filter,0.5583125193502476,0.44168748064975233,0.09801405408114928,0.6230942395880805,1.6734005026226084,-0.2957903476006885,-0.013307078905537395,0.0348769264474173,0.3620005007189801,0.2342439163780207,1.709883790015218,1.5200669309283776,-0.2274681874918649,-0.1856390139309361,True,True,True,True
2022-01-03_dual_trend_filter,2023-01-04,2026-06-10,173,4.454908846923828,0.6397356904633136,0.32457691047717635,1.7440315023438897,3.226307584164761,2.619710531758832,-0.2442009079658909,0.5780346820809249,2022-01-03,dual_trend_filter,0.5542662765756811,0.44573372342431894,0.0965772131485976,0.6230942395880805,1.6734005026226084,-0.2957903476006885,-0.016641450875233055,0.05158943963479762,0.3620005007189801,0.2342439163780207,1.709883790015218,1.5200669309283776,-0.2274681874918649,-0.1856390139309361,True,True,True,True
2022-01-03_realized_volatility_filter,2023-01-04,2026-06-10,173,4.466599149277279,0.64075927052112,0.3222662491539351,1.7563217191566642,3.2585216301040045,2.6460946676828865,-0.24215281423858337,0.5780346820809249,2022-01-03,realized_volatility_filter,0.5612297437847001,0.4387702562152998,0.09970458940773844,0.6230942395880805,1.6734005026226084,-0.2957903476006885,-0.017665030933039505,0.05363753336210514,0.3620005007189801,0.2342439163780207,1.709883790015218,1.5200669309283776,-0.2274681874918649,-0.1856390139309361,True,True,True,True
2022-01-03_drawdown_aware_trend_filter,2023-01-04,2026-06-10,173,4.503614318616774,0.6439900517835726,0.3268577852490127,1.742420845244307,3.26411504310031,2.7284545236341775,-0.23602740899848573,0.5780346820809249,2022-01-03,drawdown_aware_trend_filter,0.5671339774387457,0.43286602256125417,0.09922975336818389,0.6230942395880805,1.6734005026226084,-0.2957903476006885,-0.02089581219549208,0.059762938602202775,0.3620005007189801,0.2342439163780207,1.709883790015218,1.5200669309283776,-0.2274681874918649,-0.1856390139309361,True,True,True,True
