date,variant,portfolio_return,selected_count,cash_proxy,turnover,selected_tickers
2022-12-30,no_regime_adjustment,-0.04624021879381678,2,2.220446049250313e-16,0.6666666666666666,"AVGO,VIST"
2023-01-09,no_regime_adjustment,-0.002521346364191779,2,0.6000000000000001,0.6666666666666666,"VIST,YPF"
2023-01-17,no_regime_adjustment,-0.07969569360763763,2,2.220446049250313e-16,0.0,"VIST,YPF"
2023-01-24,no_regime_adjustment,-0.0003431289497506499,2,2.220446049250313e-16,0.6666666666666666,"INTC,YPF"
2023-01-31,no_regime_adjustment,0.029499212339106747,2,1.1102230246251565e-16,1.0,"AMZN,QCOM"
2023-02-07,no_regime_adjustment,-0.015318870630595748,3,2.220446049250313e-16,1.0,"META,NVDA,TSLA"
2023-02-14,no_regime_adjustment,0.007417852678740847,2,2.220446049250313e-16,0.3333333333333333,"NVDA,TSLA"
2023-02-22,no_regime_adjustment,0.0057002316659308,2,0.0,0.6666666666666666,"META,TSLA"
2023-03-01,no_regime_adjustment,0.016769785080934248,2,1.1102230246251565e-16,0.6666666666666666,"META,NVDA"
2023-03-08,no_regime_adjustment,-0.011473191357339948,2,2.220446049250313e-16,0.6666666666666666,"META,VIST"
2023-03-15,no_regime_adjustment,0.019928529578038395,2,2.220446049250313e-16,1.0,"MSFT,PEP"
2023-03-22,no_regime_adjustment,0.024621260478924586,2,5.551115123125783e-16,1.0,"AMD,GOOGL"
2023-03-29,no_regime_adjustment,0.013986814096090644,2,3.3306690738754696e-16,1.0,"AAPL,INTC"
2023-04-05,no_regime_adjustment,0.018600327555861995,2,2.220446049250313e-16,0.6666666666666666,"GOOGL,INTC"
2023-04-13,no_regime_adjustment,0.024974830073527146,2,2.220446049250313e-16,1.0,"META,VIST"
2023-04-20,no_regime_adjustment,-0.007562992658185049,2,2.220446049250313e-16,1.0,"NVDA,YPF"
2023-04-27,no_regime_adjustment,0.0176937262132671,2,1.1102230246251565e-16,1.0,"META,VIST"
2023-05-04,no_regime_adjustment,0.004351913183795977,2,0.6000000000000002,1.0,"MSFT,PEP"
2023-05-11,no_regime_adjustment,0.0022385238277185995,2,1.1102230246251565e-16,1.0,"GOOGL,QQQ"
2023-05-18,no_regime_adjustment,-0.0014116084466987498,2,2.220446049250313e-16,0.0,"GOOGL,QQQ"
2023-05-25,no_regime_adjustment,0.0853333844989559,2,4.440892098500626e-16,1.0,"AMD,AVGO"
2023-06-02,no_regime_adjustment,-0.008482208396998998,2,2.220446049250313e-16,0.6666666666666666,"ADBE,AVGO"
2023-06-09,no_regime_adjustment,0.03382912417544844,2,2.220446049250313e-16,0.6666666666666666,"ADBE,TSLA"
2023-06-16,no_regime_adjustment,0.00391352903555637,3,3.3306690738754696e-16,0.3333333333333333,"ADBE,AVGO,TSLA"
2023-06-26,no_regime_adjustment,0.005688531094182148,2,5.551115123125783e-16,0.75,"TSLA,YPF"
2023-07-03,no_regime_adjustment,0.0036213704834400988,2,4.440892098500626e-16,0.6666666666666666,"NVDA,TSLA"
2023-07-11,no_regime_adjustment,0.022107707086396693,2,4.440892098500626e-16,0.6666666666666666,"TSLA,YPF"
2023-07-18,no_regime_adjustment,-0.006250348798907348,2,2.220446049250313e-16,1.0,"MSFT,QQQ"
2023-07-25,no_regime_adjustment,-0.01456791373460192,4,3.3306690738754696e-16,1.0,"COST,CSCO,PEP,TXN"
2023-08-01,no_regime_adjustment,-0.029745758369783593,2,1.1102230246251565e-16,1.0,"CCJ,QCOM"
2023-08-08,no_regime_adjustment,-0.016248664999495746,2,2.220446049250313e-16,1.0,"AMAT,GOOGL"
2023-08-15,no_regime_adjustment,-0.008219138313900948,2,2.220446049250313e-16,0.6666666666666666,"ADBE,GOOGL"
2023-08-22,no_regime_adjustment,0.0005492509732312792,2,0.6000000000000004,1.0,"CCJ,CSCO"
2023-08-29,no_regime_adjustment,0.008098844418925548,2,1.1102230246251565e-16,0.0,"CCJ,CSCO"
2023-09-06,no_regime_adjustment,-0.004553368891973249,2,1.1102230246251565e-16,0.6666666666666666,"ADBE,CSCO"
2023-09-13,no_regime_adjustment,0.011813136704678245,2,4.440892098500626e-16,1.0,"CCJ,INTC"
2023-09-20,no_regime_adjustment,-0.02235981102958559,2,4.440892098500626e-16,0.6666666666666666,"CCJ,TSLA"
2023-09-27,no_regime_adjustment,0.009042802943140651,2,0.6000000000000004,0.6666666666666666,"CCJ,VIST"
2023-10-04,no_regime_adjustment,0.004662188627372098,2,4.440892098500626e-16,0.6666666666666666,"TSLA,VIST"
2023-10-11,no_regime_adjustment,-0.0033514763069530493,2,2.220446049250313e-16,0.6666666666666666,"QQQ,VIST"
2023-10-18,no_regime_adjustment,-0.0012676303961511996,2,4.440892098500626e-16,0.6666666666666666,"ADBE,VIST"
2023-10-25,no_regime_adjustment,-0.03022214007792,2,0.0,1.0,"CCJ,MSFT"
2023-11-01,no_regime_adjustment,0.027181206333382092,2,4.440892098500626e-16,0.6666666666666666,"CCJ,NFLX"
2023-11-08,no_regime_adjustment,-0.005173050050082499,2,1.1102230246251565e-16,0.6666666666666666,"MSFT,NFLX"
2023-11-15,no_regime_adjustment,-0.0004253425316989999,2,2.220446049250313e-16,1.0,"QCOM,QQQ"
2023-11-22,no_regime_adjustment,0.002504089280573549,2,4.440892098500626e-16,1.0,"AMD,INTC"
2023-11-30,no_regime_adjustment,-0.02458535402904754,2,4.440892098500626e-16,0.6666666666666666,"INTC,YPF"
2023-12-07,no_regime_adjustment,0.019254807299321445,2,2.220446049250313e-16,0.6666666666666666,"COST,YPF"
2023-12-14,no_regime_adjustment,-0.011602329146558094,2,4.440892098500626e-16,0.6666666666666666,"TXN,YPF"
2023-12-21,no_regime_adjustment,0.0024857444815748497,2,4.440892098500626e-16,1.0,"AVGO,COST"
2023-12-29,no_regime_adjustment,-0.038205655614564835,2,3.3306690738754696e-16,0.6666666666666666,"AVGO,INTC"
2024-01-08,no_regime_adjustment,2.0478263161699886e-05,2,2.220446049250313e-16,0.6666666666666666,"COST,INTC"
2024-01-16,no_regime_adjustment,-0.013538509677801392,2,4.440892098500626e-16,1.0,"CCJ,NVDA"
2024-01-23,no_regime_adjustment,0.01702226047338734,2,4.440892098500626e-16,0.6666666666666666,"MSFT,NVDA"
2024-01-30,no_regime_adjustment,-0.008813140461593249,2,3.3306690738754696e-16,0.6666666666666666,"NFLX,NVDA"
2024-02-06,no_regime_adjustment,0.03009974089016635,2,0.0,0.6666666666666666,"META,NVDA"
2024-02-13,no_regime_adjustment,0.02658436147853519,2,2.220446049250313e-16,0.0,"META,NVDA"
2024-02-21,no_regime_adjustment,0.04403031023477183,2,4.440892098500626e-16,0.6666666666666666,"AMAT,META"
2024-02-28,no_regime_adjustment,0.016638766553262397,2,1.1102230246251565e-16,0.0,"AMAT,META"
2024-03-06,no_regime_adjustment,0.030359080116346745,2,2.220446049250313e-16,1.0,"COST,NVDA"
2024-03-13,no_regime_adjustment,-0.021478754507586392,2,4.440892098500626e-16,0.6666666666666666,"NVDA,VIST"
2024-03-20,no_regime_adjustment,0.008367753547242647,3,2.220446049250313e-16,0.3333333333333333,"NVDA,PEP,VIST"
2024-03-27,no_regime_adjustment,0.0007861117769396997,2,4.440892098500626e-16,0.75,"GOOGL,NVDA"
2024-04-04,no_regime_adjustment,0.022831820816056735,2,5.551115123125783e-16,1.0,"CCJ,VIST"
2024-04-11,no_regime_adjustment,-0.0188985447706393,2,0.0,0.6666666666666666,"CCJ,YPF"
2024-04-18,no_regime_adjustment,0.001868765525321659,2,0.6000000000000002,0.6666666666666666,"CCJ,PEP"
2024-04-25,no_regime_adjustment,-0.0011804953682187996,2,2.220446049250313e-16,0.0,"CCJ,PEP"
2024-05-02,no_regime_adjustment,0.010705832445239498,2,0.0,1.0,"GOOGL,TXN"
