horizon,tp_multiple,sl_multiple,subset,sample_size,TP_rate,SL_rate,timeout_rate,TP_minus_SL,avg_return,median_return,Sharpe,Sortino,max_drawdown_proxy,avg_time_to_exit
5,0.75,0.75,selected_only,74,0.32432432432432434,0.2972972972972973,0.3783783783783784,0.02702702702702703,0.0059818165669400505,0.015418456338827324,0.09792174199654023,1.5577496781897415,-0.42981780561867033,3.675675675675676
5,2.0,1.5,selected_only,74,0.05405405405405406,0.10810810810810811,0.8378378378378378,-0.05405405405405406,0.0067645363044495106,0.007328833018715897,0.0946155997225417,1.5863021389077747,-0.499655048449252,4.837837837837838
5,1.5,2.0,selected_only,74,0.06756756756756757,0.013513513513513514,0.918918918918919,0.05405405405405406,0.0060430194267228204,0.007328833018715897,0.09286018466661901,1.517835997531223,-0.4982559157258418,4.891891891891892
5,1.0,1.25,selected_only,74,0.21621621621621623,0.13513513513513514,0.6486486486486487,0.08108108108108109,0.0056044105710283815,0.007328833018715897,0.09274643534142776,1.4914454818513119,-0.4598074026266824,4.405405405405405
5,1.25,2.0,selected_only,74,0.13513513513513514,0.013513513513513514,0.8513513513513513,0.12162162162162163,0.0058610718276646216,0.007328833018715897,0.092291780875013,1.4721358936570443,-0.4982559157258418,4.824324324324325
5,0.75,1.5,selected_only,74,0.32432432432432434,0.10810810810810811,0.5675675675675675,0.21621621621621623,0.005688651831969392,0.015418456338827324,0.08793273651257538,1.2956757529117096,-0.4941639675876143,4.243243243243243
5,1.5,1.0,selected_only,74,0.06756756756756757,0.20270270270270271,0.7297297297297297,-0.13513513513513514,0.005419104927699201,0.007328833018715897,0.08378011620559966,1.382999526767924,-0.4560162933057823,4.45945945945946
5,1.25,1.0,selected_only,74,0.13513513513513514,0.20270270270270271,0.6621621621621622,-0.06756756756756757,0.005237157328641003,0.007328833018715897,0.08299748644474617,1.3365650238839055,-0.4560162933057821,4.391891891891892
5,1.5,0.75,selected_only,74,0.06756756756756757,0.2972972972972973,0.6351351351351351,-0.22972972972972974,0.005125986486713217,0.007093006091265175,0.08035691326325524,1.3727167998566794,-0.42981780561867033,4.216216216216216
5,1.25,0.75,selected_only,74,0.13513513513513514,0.2972972972972973,0.5675675675675675,-0.16216216216216217,0.004944038887655019,0.007093006091265175,0.07950610946865183,1.3239920272557035,-0.4298178056186702,4.148648648648648
5,1.0,2.0,selected_only,74,0.21621621621621623,0.013513513513513514,0.7702702702702703,0.20270270270270271,0.004778802555200793,0.007328833018715897,0.07688494009792265,1.2003003848212932,-0.4982559157258417,4.675675675675675
5,1.5,1.5,selected_only,74,0.06756756756756757,0.10810810810810811,0.8243243243243243,-0.04054054054054054,0.004832821751742559,0.007328833018715897,0.07186649652442292,1.1333098288949335,-0.499655048449252,4.783783783783784
5,1.25,1.5,selected_only,74,0.13513513513513514,0.10810810810810811,0.7567567567567568,0.02702702702702703,0.004650874152684361,0.007328833018715897,0.07076256704657258,1.0906426226645072,-0.4996550484492521,4.716216216216216
5,1.0,1.0,selected_only,74,0.21621621621621623,0.20270270270270271,0.581081081081081,0.013513513513513514,0.004154888056177175,0.007328833018715897,0.06730788701202592,1.0603611282917915,-0.4560162933057822,4.243243243243243
5,1.0,0.75,selected_only,74,0.21621621621621623,0.2972972972972973,0.4864864864864865,-0.08108108108108109,0.0038617696151911907,0.007093006091265175,0.06352864195884052,1.0341650415368315,-0.4298178056186702,4.0
5,1.0,1.5,selected_only,74,0.21621621621621623,0.10810810810810811,0.6756756756756757,0.10810810810810811,0.0035686048802205323,0.007328833018715897,0.055412817919345686,0.8368475383430186,-0.5034744935675444,4.5675675675675675
30,2.0,0.75,universe,460,0.0391304347826087,0.3978260869565217,0.5630434782608695,-0.358695652173913,0.020521911744811085,-0.003986097310003989,0.13379406117133233,2.757233663169276,-0.9999990187442741,23.308695652173913
30,1.5,0.75,universe,460,0.1108695652173913,0.3978260869565217,0.49130434782608695,-0.28695652173913044,0.019870547755651332,-0.003986097310003989,0.13230505905169673,2.6697192668391385,-0.9999991967836257,22.47608695652174
