candidate,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,max_drawdown,Calmar,cost_bps,slippage_bps,all_in_bps,return_drag,avg_period_cost_drag,breakeven_cost_level_bps_grid,still_beats_SPY_return,still_beats_SPY_sharpe,still_beats_QQQ_return,still_beats_QQQ_sharpe,passes_growth_criteria
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,2.0947587173507576,0.2956659782104938,0.24221207517991025,1.2292934352268838,1.867048630116446,-0.19436664688448857,1.5211765133048112,5,10,15,-0.16307012103723562,0.00023396193230493963,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,1.9397936093408226,0.2804945416433231,0.24233246559898194,1.1783064801045948,1.7871624173763718,-0.20145221074450903,1.3923626879382287,5,25,30,-0.31803522904717063,0.00046792386460987927,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,2.148194531140588,0.30076166900833345,0.24217356286300587,1.246292026465025,1.8932659433941401,-0.19199144092065812,1.5665368600083867,10,0,10,-0.10963430724740508,0.00015597462153662641,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,2.0947587173507576,0.2956659782104938,0.24221207517991025,1.2292934352268838,1.867048630116446,-0.19436664688448857,1.5211765133048112,10,5,15,-0.16307012103723562,0.00023396193230493963,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,2.0422232910582125,0.29058960723694893,0.24225139667215645,1.212296199403717,1.8408356861234838,-0.19673516517674672,1.4770598178311614,10,10,20,-0.21560554732978066,0.00031194924307325283,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,1.8898699791260243,0.2754757060902875,0.24237421222213604,1.1613143391326957,1.7610657386306143,-0.2038007739032882,1.3516911678706969,10,25,35,-0.3679588592619689,0.0005459111753781925,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,1.9905731918425844,0.28553248524508223,0.24229152694578127,1.19530049057497,1.814627765243846,-0.19909701380850542,1.434137457831044,25,0,25,-0.2672556465454088,0.0003899365538415661,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,1.9397936093408226,0.2804945416433231,0.24233246559898194,1.1783064801045948,1.7871624173763718,-0.20145221074450903,1.3923626879382287,25,5,30,-0.31803522904717063,0.00046792386460987927,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,1.8898699791260243,0.2754757060902875,0.24237421222213604,1.1613143391326957,1.7610657386306143,-0.2038007739032882,1.3516911678706969,25,10,35,-0.3679588592619689,0.0005459111753781925,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,1.7450927623108887,0.2605331480445334,0.24250429569822754,1.1103508410766092,1.68269376665475,-0.21080683921070054,1.2358856525718867,25,25,50,-0.5127360760771045,0.0007798731076831322,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,1.7450927623108887,0.2605331480445334,0.24250429569822754,1.1103508410766092,1.68269376665475,-0.21080683921070054,1.2358856525718867,50,0,50,-0.5127360760771045,0.0007798731076831322,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,1.6984520752015886,0.2555900462463869,0.24254926994929435,1.0933678847320836,1.6566397810926625,-0.21312904552551437,1.1992267202068871,50,5,55,-0.5593767631864046,0.0008578604184514452,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,1.6525980677041847,0.25066570451297876,0.2425950500056292,1.076387649938716,1.6305926883402846,-0.2154447069664699,1.163480449542863,50,10,60,-0.6052307706838085,0.0009358477292197585,75.0,True,True,True,True,True
growth_candidate_v1_drawdown_brake_18pct,2022-01-03,2026-05-15,220,1.5196254972993093,0.23600455234015305,0.24273722040688872,1.0254649696850549,1.5524989189655771,-0.22235259825525278,1.0613977717913974,50,25,75,-0.7382033410886839,0.001169809661524698,75.0,True,True,True,True,False
