group_type,group,horizon,sample_size,MAE,RMSE,MAPE,bias,forecast_dispersion,pearson_corr,spearman_ic,calibration_slope,bias_type
ticker,TXN,10D,440,0.04838279509310369,0.06394023173582009,1.5626058232446804,-0.00592741174586144,0.016446669282424088,0.11332403540704501,0.09195943450898456,0.44550235039388303,pessimistic_bias
ticker,QQQ,20D,440,0.04847669012265612,0.06041929798264744,1.1869155239688542,-0.014620217974304682,0.010458241619478273,0.03766690025243693,0.07147122367211452,0.12014163203695527,pessimistic_bias
ticker,COST,20D,440,0.051486191657758466,0.06797916165405968,1.159997691517345,-0.011869349048901846,0.01623468342977439,-0.021404414344960185,0.10612238429236395,0.03128518932518453,pessimistic_bias
ticker,GOOGL,10D,440,0.05180541499625999,0.06527381954867881,1.9913376100473716,-0.006098574754647097,0.022174127790380783,0.059042732188685616,0.02641000757728279,0.26072407815206283,pessimistic_bias
ticker,MSFT,20D,440,0.05474037483264169,0.0698325024147982,1.402944941539886,-0.0072179121143688876,0.011666834879812576,-0.021166896811680724,0.015345167840414889,-0.08056259869819438,pessimistic_bias
ticker,AMZN,10D,440,0.055047026382411844,0.07229564160618278,1.0440853017306206,-0.006954542889851283,0.010235182356516166,0.0027953377467807637,0.04712981594582185,0.011483102822388538,pessimistic_bias
ticker,CSCO,20D,440,0.055919646158383525,0.07855894069342226,1.3928473243503523,-0.01542000697202437,0.012010593862965626,-0.15778108496326854,-0.08032912488639925,-0.9698094538404318,pessimistic_bias
ticker,CCJ,5D,440,0.05682572228675948,0.07649579751478239,1.670949237675789,-0.0021297830680551853,0.03247538165898217,-0.023485508832567274,0.08001018521991587,0.01294792488649699,pessimistic_bias
ticker,QCOM,10D,440,0.05785120236132358,0.07896549970372622,1.46835264242608,-0.0050005039840921185,0.013963071130181377,-0.005928245089322876,0.04469945060740714,-0.03045052557931125,pessimistic_bias
ticker,INTC,5D,440,0.05884848846015216,0.08552581149670162,1.2620253591537083,-0.0005829582928409914,0.043972503313102096,0.06656533738851156,0.05820085415677334,0.1335404560952748,well_centered
ticker,NVDA,5D,440,0.05914283923246119,0.0753602023210842,2.792872383118043,-0.0025743204546876215,0.03344876639003991,0.03785250498918557,0.04417877878438483,0.15623504992085802,pessimistic_bias
ticker,ADBE,10D,440,0.05931350526003895,0.07639562746181035,1.1848147911443667,0.0063433864052831355,0.0227638390289275,0.01530701093818844,0.0015963888253486846,0.030722261491048036,optimistic_bias
ticker,AAPL,20D,440,0.06037523818524035,0.07299648544692737,1.113664924685504,-0.013166221392594152,0.0122348800077906,-0.07120171531745759,0.050987802565218156,-0.4266898984997129,pessimistic_bias
ticker,AMD,5D,440,0.06196440091013899,0.08243634858601563,1.5739696797557166,-0.0023778623352028513,0.029416579856955827,0.06725910164790312,0.06842720939942351,0.22690666066942464,pessimistic_bias
ticker,VIST,5D,440,0.0632334531497091,0.08345991134723717,1.743852531647033,-0.007180189724488973,0.030642556337839633,-0.1317906113772455,-0.1664667834867746,-0.18712262018468165,pessimistic_bias
ticker,TSLA,5D,440,0.06519944553334792,0.08616866777525307,2.165180376736543,0.0012184958216097997,0.032046874368272714,-0.028877602146120427,-0.06497606807896887,-0.05495472192993181,well_centered
ticker,META,10D,440,0.06524922982341956,0.08870763184202654,2.4486368083981387,-0.00798199819839435,0.02252427344110404,-0.006029562527869665,0.06753688312196113,-0.0013753714340886396,pessimistic_bias
ticker,AMAT,10D,440,0.06652192987909768,0.08282007340094842,1.3139225112530186,-0.011314892136714385,0.02166479564620275,0.07635184729876955,0.11991201688661751,0.3263524846539197,pessimistic_bias
ticker,NFLX,10D,440,0.06801685863776573,0.09292235666270575,1.1283797135506641,-0.006320343467775072,0.019171792417477684,0.08883652444045352,0.13629430214074728,0.4712312211805103,pessimistic_bias
ticker,AVGO,10D,440,0.06818805828898003,0.09078725022411473,1.603917456743585,-0.017844929757008823,0.02566926664834334,-0.03555705084809825,0.021270909064335385,-0.01661007275866964,pessimistic_bias
ticker,CCJ,10D,440,0.07360458718467228,0.09388752906176306,1.3607228137585552,-0.011054029432304107,0.03247538165898217,0.07719684908216602,0.14110967125723764,0.32183405691381795,pessimistic_bias
ticker,GOOGL,20D,440,0.0736570679692199,0.0907414329065007,1.6069164842443557,-0.017364361864565095,0.022174127790380783,0.06265786949384693,0.017835545677911714,0.4439037674318433,pessimistic_bias
ticker,TXN,20D,440,0.07376302079411694,0.09779877945020399,1.2178450020060851,-0.013058518561151932,0.016446669282424088,0.007136456936229556,-0.04205608315957421,0.06046662026094001,pessimistic_bias
ticker,YPF,5D,440,0.07568929414292168,0.09986946869813708,2.7014494667990694,0.0016178238261122244,0.05697736784488544,0.0407758688082544,-0.07117820489725347,0.12420065882297301,well_centered
ticker,AMZN,20D,440,0.07636986977000737,0.09832955512266993,1.4467484162767459,-0.013723372340482487,0.010235182356516166,-0.002997153492199895,0.05920951493946807,-0.044217414853241134,pessimistic_bias
ticker,NVDA,10D,440,0.08037814146645503,0.10274731869882836,1.9188562392496824,-0.014526011562329823,0.03344876639003991,0.029768922074334705,0.055120494286046706,0.25204449559002995,pessimistic_bias
ticker,ADBE,20D,440,0.08157308507418813,0.10431448499641677,1.1253343223665568,0.011147927781462773,0.0227638390289275,0.062440692142591424,0.05203421769005844,0.23934325968767722,optimistic_bias
ticker,QCOM,20D,440,0.08239451618319824,0.1191603611664216,1.3623965310084687,-0.010450915694933094,0.013963071130181377,-0.0368271571747836,-0.010752662042112107,-0.3044744227341595,pessimistic_bias
ticker,VIST,10D,440,0.08424195397901768,0.10979825821243694,2.0737649421370863,-0.021390366984946535,0.030642556337839633,-0.10714552422114901,-0.07036620479230203,-0.11229679667814509,pessimistic_bias
ticker,INTC,10D,440,0.08729073852159527,0.12467521972346067,1.3322267554407712,-0.007327872220604092,0.043972503313102096,0.025448012566204204,0.1410502222557995,0.10745229818522135,pessimistic_bias
ticker,AMD,10D,440,0.08967570023206659,0.11635628815235893,1.2981790764950496,-0.011763919844472212,0.029416579856955827,0.08401493544174884,0.021961475427012694,0.4285153505857462,pessimistic_bias
ticker,AVGO,20D,440,0.09010050655020144,0.12350896204297561,1.1684841550796676,-0.038693414265287045,0.02566926664834334,-0.03456923396268026,0.04659787416992027,0.04563813271338942,pessimistic_bias
ticker,META,20D,440,0.0943430335265386,0.12239248088122394,1.1748133329536516,-0.017396312072882534,0.02252427344110404,0.00771045647669079,0.03130285761981814,0.08405444401139922,pessimistic_bias
ticker,NFLX,20D,440,0.0943466481838295,0.12678541376359084,1.4476526261907825,-0.016452316984621285,0.019171792417477684,0.0922472606977398,0.2381991883168662,0.7049897254236633,pessimistic_bias
ticker,AMAT,20D,440,0.09511482454829974,0.1190604997398881,1.3697862037779136,-0.02670404194732178,0.02166479564620275,0.04474224511446043,0.12422728184409024,0.3306811363948142,pessimistic_bias
ticker,TSLA,10D,440,0.09712000218259466,0.1251566222658224,1.2420863826409485,-0.0033855539425514418,0.032046874368272714,-0.03289130440946087,-0.07151517648834367,-0.08550592368134478,pessimistic_bias
ticker,YPF,10D,440,0.10364875659696114,0.13728424215086343,1.424655643877752,-0.01456817442509725,0.05697736784488544,0.04318469589668826,-0.0659340326505488,0.2322829390505399,pessimistic_bias
ticker,CCJ,20D,440,0.10805709829850035,0.13713644139274764,1.2692433059966526,-0.030660724498245577,0.03247538165898217,0.0995600529500893,0.1548776091921986,0.6335563348531357,pessimistic_bias
ticker,NVDA,20D,440,0.11108177190359424,0.1470943398973587,1.197328116422262,-0.039661122695651835,0.03344876639003991,0.11322799621513543,0.10052769793427202,0.8038906514531745,pessimistic_bias
ticker,VIST,20D,440,0.1119727176110954,0.1445518695467509,1.286004095814907,-0.04798733590575306,0.030642556337839633,-0.06081827483784968,-0.023633654685474473,0.1726952713808371,pessimistic_bias
ticker,INTC,20D,440,0.1256657628740258,0.19178821640856367,1.095703910574329,-0.022948289438893505,0.043972503313102096,0.02393102832950102,0.20577497038556064,0.18784338555108446,pessimistic_bias
ticker,AMD,20D,440,0.13767263180096675,0.18553544937689415,1.085983254430161,-0.033441978379765716,0.029416579856955827,0.030229671420411473,-0.05572174627215579,0.43337871903336866,pessimistic_bias
ticker,TSLA,20D,440,0.14152743934403994,0.18723560142530876,1.1142978233082088,-0.014066833813461372,0.032046874368272714,-0.06164854260441867,-0.0534068979507536,-0.26104717432386626,pessimistic_bias
ticker,YPF,20D,440,0.14495384780980547,0.20175780801009657,1.2758198535195409,-0.046943967366401794,0.05697736784488544,0.04094096247785132,-0.03477343960898952,0.4204105655832642,pessimistic_bias
