window_start,date,entry_date,exit_date,return,selected_tickers,selected_count,target_exposure,uncapped_exposure,cash_weight,turnover,rolling_vol_used,raw_target_source,reconstruction_type
2008-01-01,2010-02-04,2010-02-05,2010-02-12,0.051664309038398935,"REGN,SIRI,AMD,SMCI",4,0.6,0.75,0.4,0.14999999999999997,0.09601114684677706,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-02-11,2010-02-12,2010-02-22,0.02713540375686983,"REGN,SIRI,AMD,SMCI",4,0.6,0.75,0.4,0.0,0.13615428410388902,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-02-19,2010-02-22,2010-03-01,-0.009813185357231151,"SIRI,SMCI,AMD,REGN",4,0.6,0.75,0.4,0.0,0.14144876604497028,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-02-26,2010-03-01,2010-03-08,0.014085278876126537,"SIRI,SMCI,AMD,REGN",4,0.6,0.75,0.4,0.0,0.14543352036371368,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-03-05,2010-03-08,2010-03-15,0.0013801678497606055,"SMCI,SIRI,AMD,REGN",4,0.6,0.75,0.4,0.0,0.1455250253325305,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-03-12,2010-03-15,2010-03-22,0.021166804140638935,"CCEP,SMCI,AMD,REGN",4,0.6,0.75,0.4,0.15,0.14582596156050232,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-03-19,2010-03-22,2010-03-29,0.010858399677398333,"SMCI,CCEP,AMD,REGN",4,0.6,0.75,0.4,0.0,0.14881915606039503,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-03-26,2010-03-29,2010-04-06,0.002017189688991289,"SMCI,SONY,AMD,REGN",4,0.6,0.75,0.4,0.15,0.14895807866206162,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-04-05,2010-04-06,2010-04-13,0.004421806231954235,"NFLX,SMCI,AMD,REGN",4,0.6,0.75,0.4,0.15,0.14919195637643765,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-04-12,2010-04-13,2010-04-20,0.029637952681431975,"NFLX,SIRI,AMD,REGN",4,0.6,0.75,0.4,0.15,0.14408520816081447,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-04-19,2010-04-20,2010-04-27,0.021284720487663576,"NFLX,SIRI,AMD,REGN",4,0.6,0.75,0.4,0.0,0.1222586999801303,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-04-26,2010-04-27,2010-05-04,-0.018881734357664735,"NFLX,SIRI,AMD",3,0.6,0.75,0.4,0.14999999999999997,0.1233910062115483,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-05-03,2010-05-04,2010-05-11,-0.012121868605454854,"NFLX,SIRI,AMD",3,0.6,0.75,0.4,0.0,0.13130480642987824,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-05-10,2010-05-11,2010-05-18,-0.008726353820054232,"NFLX,CCEP,AMD,SIRI",4,0.6,0.75,0.4,0.14999999999999997,0.10945520628159756,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-05-17,2010-05-18,2010-05-25,-0.019654347983837174,"NFLX,TMUS,AMD,SIRI",4,0.6,0.75,0.4,0.15,0.10495993230998332,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-05-24,2010-05-25,2010-06-02,0.02255684079999305,"NFLX,TMUS",2,0.6,0.75,0.4,0.3,0.11238936220983115,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-06-01,2010-06-02,2010-06-09,0.0014428053447923736,"NFLX,TMUS",2,0.6,0.75,0.4,0.0,0.11692903593037052,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-06-08,2010-06-09,2010-06-16,0.05260323760876395,"NFLX,TMUS",2,0.6,0.75,0.4,0.0,0.11692187192794075,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-06-15,2010-06-16,2010-06-23,-0.025408457784039905,"NFLX,MELI,TMUS",3,0.6,0.75,0.4,0.2,0.14878533365233199,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-06-22,2010-06-23,2010-06-30,-0.04853142922320772,"NFLX,MELI,TMUS",3,0.6,0.75,0.4,0.0,0.16182279647949938,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-06-29,2010-06-30,2010-07-08,0.03732345691983602,"NFLX,DXCM,TMUS,MELI",4,0.6,0.75,0.4,0.14999999999999997,0.19299667514133656,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-07-07,2010-07-08,2010-07-15,0.023178596707168708,"NFLX,DXCM,MELI,TMUS",4,0.6,0.75,0.4,0.0,0.2069814130631744,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-07-14,2010-07-15,2010-07-22,-0.03430201711429936,"NFLX,TMUS,DXCM,MELI",4,0.6,0.75,0.4,0.0,0.20370307038948146,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-07-21,2010-07-22,2010-07-29,-0.004967917572537567,"TMUS,ILMN,MELI,NFLX",4,0.6,0.75,0.4,0.15,0.21099995053186688,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-07-28,2010-07-29,2010-08-05,0.03273977765327226,"MELI,AZN,TMUS,ILMN",4,0.6,0.75,0.4,0.15,0.20813409694910223,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-08-04,2010-08-05,2010-08-12,-0.0029538848761026196,"BKNG,MELI,AZN,TMUS",4,0.6,0.75,0.4,0.15,0.2171157660627976,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2010-08-11,2010-08-12,2010-08-19,0.0016630161772406946,"BKNG,MELI,AZN",3,0.6,0.75,0.4,0.14999999999999997,0.21614176228782633,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
