date,ticker,selected,horizon,current_price,take_profit_price,stop_loss_price,vertical_barrier_date,first_touch_date,first_touch_type,label,realized_return_at_barrier,max_favorable_excursion,max_adverse_excursion,time_to_first_touch,daily_volatility,volatility_horizon
2023-07-05,CSCO,False,20,51.5099983215332,54.242134587634034,48.77786205543237,2023-08-02,2023-08-02,vertical_timeout,0,0.020772734311547802,0.04057464998429605,-0.021937435259934523,20,0.01186030404555461,0.053040892159351746
2023-07-05,INTC,False,5,32.5099983215332,34.43402908672083,30.58596755634558,2023-07-12,2023-07-12,vertical_timeout,0,0.045216896234948845,0.045216896234948845,-0.02030138339399179,5,0.026467325769812977,0.05918273960393377
2023-07-05,INTC,False,10,32.5099983215332,35.230988724084625,29.789007918981785,2023-07-19,2023-07-19,vertical_timeout,0,0.05998157070490695,0.06121198957887075,-0.02030138339399179,10,0.026467325769812977,0.08369703300627844
2023-07-05,INTC,False,20,32.5099983215332,36.35805985190845,28.661936791157956,2023-08-02,2023-07-28,take_profit,1,0.132882304908029,0.132882304908029,-0.02030138339399179,17,0.026467325769812977,0.11836547920786754
2023-07-05,AMAT,False,5,142.25999450683594,148.7377581798297,135.78223083384216,2023-07-12,2023-07-12,vertical_timeout,0,-0.023688986695592495,-0.011949929803775516,-0.0330380790786291,5,0.020363729051454088,0.04553468243443866
2023-07-05,AMAT,False,10,142.25999450683594,151.42093574703145,133.0990532666404,2023-07-19,2023-07-19,vertical_timeout,0,-0.0033740738512119117,0.02277523983039642,-0.0330380790786291,10,0.020363729051454088,0.06439576545713509
2023-07-05,AMAT,False,20,142.25999450683594,155.21552185282349,129.30446716084842,2023-08-02,2023-08-02,vertical_timeout,0,0.035639023759241883,0.07289477559679125,-0.0577815375938886,20,0.020363729051454088,0.09106936486887732
2023-07-05,QCOM,False,5,117.12999725341797,122.68245166617407,111.57754284066185,2023-07-12,2023-07-12,vertical_timeout,0,0.01323318610180002,0.01323318610180002,-0.016306634316591406,5,0.02119980500303317,0.0474042050965223
2023-07-05,QCOM,False,10,117.12999725341797,124.98235358839601,109.27764091843993,2023-07-19,2023-07-19,vertical_timeout,0,0.06223854765193049,0.06223854765193049,-0.016306634316591406,10,0.02119980500303317,0.06703966976101763
2023-07-05,QCOM,False,20,117.12999725341797,128.2349060789302,106.02508842790573,2023-08-02,2023-07-28,take_profit,1,0.10543839122100462,0.12840434788867428,-0.016306634316591406,17,0.02119980500303317,0.0948084101930446
2023-07-05,TXN,False,5,176.52999877929688,182.75823888393842,170.30175867465533,2023-07-12,2023-07-12,vertical_timeout,0,0.03308217514458822,0.03308217514458822,-0.01603127995595155,5,0.01577835874975628,0.03528148273783364
2023-07-05,TXN,False,10,176.52999877929688,185.33806040499698,167.72193715359677,2023-07-19,2023-07-19,vertical_timeout,0,0.04044637987323085,0.04050299635147847,-0.01603127995595155,10,0.01577835874975628,0.04989555138847657
2023-07-05,TXN,False,20,176.52999877929688,188.98647898857996,164.07351857001376,2023-08-02,2023-08-02,vertical_timeout,0,-0.02316884589686119,0.05409847118221256,-0.02316884589686119,20,0.01577835874975628,0.07056296547566727
2023-07-05,CCJ,False,5,30.5,32.019703765614906,28.980296234385094,2023-07-12,2023-07-12,vertical_timeout,0,0.031147565998014937,0.031147565998014937,-0.03967210113025099,5,0.022283022462802213,0.04982635297098053
2023-07-05,CCJ,False,10,30.5,32.649185676122066,28.350814323877938,2023-07-19,2023-07-18,take_profit,1,0.07999995497406509,0.07999995497406509,-0.03967210113025099,9,0.022283022462802213,0.07046510413514963
2023-07-05,CCJ,False,20,30.5,33.53940753122981,27.460592468770187,2023-08-02,2023-07-26,take_profit,1,0.10622956322841959,0.1527868802430199,-0.03967210113025099,15,0.022283022462802213,0.09965270594196106
2023-07-05,YPF,True,5,15.149999618530273,16.11238984371277,14.187609393347776,2023-07-12,2023-07-06,stop_loss,-1,-0.0726072247850078,-0.013861389005588975,-0.0726072247850078,1,0.02840884512970249,0.0635241088722786
2023-07-05,YPF,True,10,15.149999618530273,16.511024927278655,13.788974309781889,2023-07-19,2023-07-19,vertical_timeout,0,0.013201370823457292,0.021782173730382492,-0.0726072247850078,10,0.02840884512970249,0.08983665630484146
2023-07-05,YPF,True,20,15.149999618530273,17.07478006889527,13.22521916816528,2023-08-02,2023-08-02,vertical_timeout,0,-0.05874583577941883,0.03168320184797535,-0.0726072247850078,20,0.02840884512970249,0.1270482177445572
2023-07-05,VIST,False,5,24.170000076293945,25.604927727174562,22.735072425413325,2023-07-12,2023-07-11,take_profit,1,0.08316095252532718,0.1042614997852358,-0.028961554022749803,4,0.026550233843897732,0.05936812769347087
2023-07-05,VIST,False,10,24.170000076293945,26.199294221193483,22.140705931394407,2023-07-19,2023-07-12,take_profit,1,0.1042614997852358,0.13322297489409962,-0.028961554022749803,5,0.026550233843897732,0.08395921135680424
2023-07-05,VIST,False,20,24.170000076293945,27.039855378055186,21.300144774532704,2023-08-02,2023-07-13,take_profit,1,0.13322297489409962,0.13322297489409962,-0.028961554022749803,6,0.026550233843897732,0.11873625538694174
2023-07-12,AAPL,False,5,189.77000427246094,194.39612157876257,185.1438869661593,2023-07-19,2023-07-19,take_profit,1,0.028086640201589352,0.028086640201589352,0.004057485357729984,5,0.010901947131673034,0.024377494873529755
2023-07-12,AAPL,False,10,189.77000427246094,196.3123221081616,183.22768643676028,2023-07-26,2023-07-26,vertical_timeout,0,0.02492488602544385,0.028086640201589352,0.004057485357729984,10,0.010901947131673034,0.034474983866826375
2023-07-12,AAPL,False,20,189.77000427246094,199.02223888506424,180.51776965985766,2023-08-09,2023-08-07,stop_loss,-1,-0.05754333099590914,0.03520046648779385,-0.06102124450831958,18,0.010901947131673034,0.04875498974705951
