model,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,window_start,overlay,stress_period
2010-01-01_base_growth_v2_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.1437517142974032,-0.46361943685982276,0.2174492824856499,-2.7381876920883426,-4.666928447280983,-3.4075169088437587,-0.13605785364015655,0.38461538461538464,2010-01-01,base_growth_v2,2018_q4_selloff
2010-01-01_base_growth_v2_covid_crash_2020,2020-02-18,2020-04-29,11,-0.1325053603611378,-0.4904718711766023,0.37105470057295864,-1.6140646282792255,-4.358359670698282,-2.230364852160632,-0.21990656403209774,0.6363636363636364,2010-01-01,base_growth_v2,covid_crash_2020
2010-01-01_base_growth_v2_2022_bear_market,2022-01-04,2022-12-23,50,-0.16081267363452167,-0.16590287035187745,0.24158954271923724,-0.6338096804706146,-0.8228116446273981,-0.6126746534462578,-0.2707846153234573,0.52,2010-01-01,base_growth_v2,2022_bear_market
2010-01-01_base_growth_v2_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.5109585388695119,0.5148290214606199,0.28544070988298276,1.624365811130195,4.0406066955326425,3.6873192037316374,-0.1396214954592494,0.5490196078431373,2010-01-01,base_growth_v2,2024_ai_bull_market
2010-01-01_spy_trend_filter_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.14201847882948038,-0.26464172096300764,0.12050200810924046,-2.4821237754462846,-2.97652396943349,-1.7518233617068004,-0.15106644125647883,0.34615384615384615,2010-01-01,spy_trend_filter,2011_euro_crisis
2010-01-01_spy_trend_filter_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.10327769470904924,-0.3543731430377587,0.18698494206470376,-2.2356115542024666,-2.9345205117462254,-3.721619139413934,-0.09522015277833185,0.38461538461538464,2010-01-01,spy_trend_filter,2018_q4_selloff
2010-01-01_spy_trend_filter_covid_crash_2020,2020-02-18,2020-04-29,11,-0.11243287387459644,-0.43207354991163816,0.2448093798526021,-2.1733443876542355,-6.836020023829008,-3.057967573487193,-0.14129435303949855,0.6363636363636364,2010-01-01,spy_trend_filter,covid_crash_2020
2010-01-01_spy_trend_filter_2022_bear_market,2022-01-04,2022-12-23,50,-0.1163243195663799,-0.12010848487667525,0.1501362871997724,-0.7823579131356859,-0.913634815170736,-0.6886277894906538,-0.17441713318818275,0.52,2010-01-01,spy_trend_filter,2022_bear_market
2010-01-01_spy_trend_filter_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.5109585388695119,0.5148290214606199,0.28544070988298276,1.624365811130195,4.0406066955326425,3.6873192037316374,-0.1396214954592494,0.5490196078431373,2010-01-01,spy_trend_filter,2024_ai_bull_market
2010-01-01_qqq_trend_filter_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.19534284806888458,-0.35349263832016,0.13338654297531954,-3.188406426434298,-3.797767686088171,-1.7941444988870663,-0.1970257348499168,0.34615384615384615,2010-01-01,qqq_trend_filter,2011_euro_crisis
2010-01-01_qqq_trend_filter_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.10327769470904924,-0.3543731430377587,0.18698494206470376,-2.2356115542024666,-2.9345205117462254,-3.721619139413934,-0.09522015277833185,0.38461538461538464,2010-01-01,qqq_trend_filter,2018_q4_selloff
2010-01-01_qqq_trend_filter_covid_crash_2020,2020-02-18,2020-04-29,11,-0.08889944951854445,-0.35701250850867006,0.2594374882336485,-1.5627384996149358,-5.20913682637105,-2.5267287816440045,-0.14129435303949855,0.6363636363636364,2010-01-01,qqq_trend_filter,covid_crash_2020
2010-01-01_qqq_trend_filter_2022_bear_market,2022-01-04,2022-12-23,50,-0.11199781513079388,-0.11565063197077108,0.14858547617054538,-0.7578619093345088,-0.8634234965526809,-0.666500325180733,-0.17351924312926692,0.52,2010-01-01,qqq_trend_filter,2022_bear_market
2010-01-01_qqq_trend_filter_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.5109585388695119,0.5148290214606199,0.28544070988298276,1.624365811130195,4.0406066955326425,3.6873192037316374,-0.1396214954592494,0.5490196078431373,2010-01-01,qqq_trend_filter,2024_ai_bull_market
2010-01-01_dual_trend_filter_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.16543661716777847,-0.3043685255420786,0.1187688455791698,-2.9846249998422203,-3.4261763148072997,-1.79965219241804,-0.16912630497403192,0.34615384615384615,2010-01-01,dual_trend_filter,2011_euro_crisis
2010-01-01_dual_trend_filter_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.0964659528722629,-0.3344618858037388,0.18388724245116586,-2.1124928684267266,-2.6502906193783353,-3.785766518719389,-0.08834720370364446,0.38461538461538464,2010-01-01,dual_trend_filter,2018_q4_selloff
2010-01-01_dual_trend_filter_covid_crash_2020,2020-02-18,2020-04-29,11,-0.09777468123901345,-0.3861864639313184,0.23477497942396466,-1.9491095684432318,-4.720610575728273,-3.020786887208708,-0.1278430019564093,0.6363636363636364,2010-01-01,dual_trend_filter,covid_crash_2020
2010-01-01_dual_trend_filter_2022_bear_market,2022-01-04,2022-12-23,50,-0.10678345623158281,-0.11027696883477767,0.1362129638651972,-0.7949417568722863,-0.8742043267166723,-0.7009649692187122,-0.15732165468652615,0.52,2010-01-01,dual_trend_filter,2022_bear_market
2010-01-01_dual_trend_filter_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.5109585388695119,0.5148290214606199,0.28544070988298276,1.624365811130195,4.0406066955326425,3.6873192037316374,-0.1396214954592494,0.5490196078431373,2010-01-01,dual_trend_filter,2024_ai_bull_market
2010-01-01_realized_volatility_filter_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.15986095948338008,-0.2950103084141704,0.14947838018485404,-2.2552564428560373,-3.0839789918971143,-1.6887000555493275,-0.17469668899738666,0.34615384615384615,2010-01-01,realized_volatility_filter,2011_euro_crisis
2010-01-01_realized_volatility_filter_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.12568926345984166,-0.4167403237625237,0.21527108282915708,-2.3830394032076287,-3.6507315078935956,-3.5366999382873616,-0.11783310177123174,0.38461538461538464,2010-01-01,realized_volatility_filter,2018_q4_selloff
2010-01-01_realized_volatility_filter_covid_crash_2020,2020-02-18,2020-04-29,11,-0.07771478433488355,-0.31870049948274615,0.22975521099328935,-1.5471084729562106,-3.5592199384402017,-2.7875246812584917,-0.11433100543485109,0.6363636363636364,2010-01-01,realized_volatility_filter,covid_crash_2020
2010-01-01_realized_volatility_filter_2022_bear_market,2022-01-04,2022-12-23,50,-0.18849954600353636,-0.19436030555314998,0.21568748789661857,-0.8992158237586519,-1.0831870720037162,-0.6591987839540819,-0.29484324043699783,0.52,2010-01-01,realized_volatility_filter,2022_bear_market
2010-01-01_realized_volatility_filter_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.5226867433475182,0.5266604345753199,0.2831349769471812,1.663431942182178,4.009410377662352,3.7720583986226783,-0.1396214954592494,0.5490196078431373,2010-01-01,realized_volatility_filter,2024_ai_bull_market
2010-01-01_drawdown_aware_trend_filter_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.16704002854097744,-0.3070480852073598,0.14815535936277988,-2.39217852166461,-3.3297692038902795,-1.7497166641651862,-0.17548446071058976,0.34615384615384615,2010-01-01,drawdown_aware_trend_filter,2011_euro_crisis
2010-01-01_drawdown_aware_trend_filter_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.13778782930810862,-0.44846614681077857,0.21692454345641243,-2.61833922530644,-4.173703631740435,-3.4486683847925503,-0.1300403798719416,0.38461538461538464,2010-01-01,drawdown_aware_trend_filter,2018_q4_selloff
2010-01-01_drawdown_aware_trend_filter_covid_crash_2020,2020-02-18,2020-04-29,11,-0.16803967393913877,-0.5821636276192719,0.2996296279517403,-2.7315506294053074,-4.071099083763073,-3.144861696199615,-0.18511581234964425,0.6363636363636364,2010-01-01,drawdown_aware_trend_filter,covid_crash_2020
2010-01-01_drawdown_aware_trend_filter_2022_bear_market,2022-01-04,2022-12-23,50,-0.10970258472551142,-0.11328541436107187,0.1374749054953416,-0.8111788270134248,-0.9059702869093671,-0.7172441679502594,-0.15794539631436666,0.52,2010-01-01,drawdown_aware_trend_filter,2022_bear_market
2010-01-01_drawdown_aware_trend_filter_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.5109585388695119,0.5148290214606199,0.28544070988298276,1.624365811130195,4.0406066955326425,3.6873192037316374,-0.1396214954592494,0.5490196078431373,2010-01-01,drawdown_aware_trend_filter,2024_ai_bull_market
2015-01-01_base_growth_v2_2011_euro_crisis,,,0,,,,,,,,,2015-01-01,base_growth_v2,2011_euro_crisis
2015-01-01_base_growth_v2_2018_q4_selloff,2018-10-05,2018-12-26,12,-0.09862522287248898,-0.3633232052417251,0.20572440406496756,-2.0805569139613285,-2.591844474351536,-3.17003341804123,-0.11461179026504498,0.3333333333333333,2015-01-01,base_growth_v2,2018_q4_selloff
2015-01-01_base_growth_v2_covid_crash_2020,2020-02-21,2020-04-27,10,-0.07273607005157456,-0.3256709792691611,0.27589858598385414,-1.2789640881284616,-1.6346490991141238,-2.236060456129397,-0.1456449794890139,0.7,2015-01-01,base_growth_v2,covid_crash_2020
2015-01-01_base_growth_v2_2022_bear_market,2022-01-07,2022-12-29,50,-0.24142634883392022,-0.246853057012399,0.23572584736462984,-1.0997973150962506,-1.4071945876271932,-0.8030872787007249,-0.30738011117766717,0.46,2015-01-01,base_growth_v2,2022_bear_market
