date,gross_daily_return,exposure,cash,fully_invested_equivalent_return,cash_drag_return
2012-06-28,-0.00288044985006,0.6,0.4,-0.0048007497501,0.0019202999000400003
2012-07-06,-0.0073251038278188,0.6,0.4,-0.012208506379698,0.0048834025518792
2012-07-13,-0.037569673094865,0.6,0.4,-0.06261612182477501,0.025046448729910006
2012-07-20,0.0164482643929917,0.6,0.4,0.027413773988319498,-0.0109655095953278
2012-07-27,-0.0051696882491171,0.6,0.4,-0.008616147081861833,0.003446458832744733
2012-08-03,0.0116994989759568,0.6,0.4,0.019499164959928,-0.0077996659839712
2012-08-10,0.0187876430331079,0.6,0.4,0.03131273838851317,-0.012525095355405271
2012-08-17,-0.0074316242529071,0.6,0.4,-0.012386040421511833,0.004954416168604733
2012-08-24,-0.0005208241148858,0.6,0.4,-0.0008680401914763334,0.0003472160765905334
2012-08-31,-0.0027172111964516,0.6,0.4,-0.004528685327419333,0.0018114741309677332
2012-09-10,0.0065028882672952,0.6,0.4,0.010838147112158667,-0.004335258844863467
2012-09-17,0.0032979347015527,0.6,0.4,0.0054965578359211665,-0.0021986231343684667
2012-09-24,0.0434380954222344,0.6,0.4,0.07239682570372401,-0.028958730281489604
2012-10-01,-0.0159203911792531,0.6,0.4,-0.02653398529875517,0.010613594119502068
2012-10-08,-0.0153850088585284,0.6,0.4,-0.025641681430880667,0.010256672572352268
2012-10-15,-0.013695410494238,0.6,0.4,-0.022825684157063333,0.009130273662825334
2012-10-22,0.0171810398581833,0.6,0.4,0.028635066430305504,-0.011454026572122203
2012-10-31,-0.0180211271668339,0.6,0.4,-0.030035211944723167,0.012014084777889268
2012-11-07,0.0303266743741983,0.6,0.4,0.0505444572903305,-0.020217782916132198
2012-11-14,0.0160586631745632,0.4,0.6,0.040146657936408,-0.0240879947618448
2012-11-21,-0.0035181039129765,0.4,0.6,-0.008795259782441249,0.005277155869464749
2012-11-29,0.0005319117230829,0.6,0.4,0.0008865195384715,-0.0003546078153886
2012-12-06,0.0130370686623479,0.4,0.6,0.032592671655869744,-0.019555602993521846
2012-12-13,-0.0224293372694861,0.6,0.4,-0.03738222878247684,0.014952891512990736
2012-12-20,-0.0045310542401894,0.6,0.4,-0.007551757066982334,0.0030207028267929337
2012-12-28,0.0186275689369118,0.4,0.6,0.046568922342279495,-0.027941353405367696
2013-01-07,-0.0004724012795307,0.6,0.4,-0.0007873354658845,0.0003149341863538
2013-01-14,0.0139240967394123,0.6,0.4,0.0232068278990205,-0.0092827311596082
2013-01-22,0.091380387256944,0.6,0.4,0.15230064542824,-0.06092025817129601
2013-01-29,0.014215371572022,0.6,0.4,0.02369228595337,-0.009476914381348001
2013-02-05,-0.0148587951442234,0.6,0.4,-0.024764658573705668,0.009905863429482268
2013-02-12,-0.0235647683478132,0.6,0.4,-0.039274613913022005,0.015709845565208803
2013-02-20,-0.0209481782911574,0.6,0.4,-0.03491363048526234,0.013965452194104937
2013-02-27,0.0005671863199509,0.6,0.4,0.0009453105332515,-0.00037812421330060003
2013-03-06,0.0207710158504606,0.6,0.4,0.03461835975076767,-0.01384734390030707
2013-03-13,-0.0173197362194616,0.6,0.4,-0.028866227032436003,0.011546490812974403
2013-03-20,0.0088516600581579,0.6,0.4,0.014752766763596499,-0.0059011067054386
2013-03-27,-0.0418415626634805,0.6,0.4,-0.0697359377724675,0.027894375108987006
2013-04-04,0.0149563154100681,0.6,0.4,0.0249271923501135,-0.009970876940045401
2013-04-11,-0.0175041272024386,0.6,0.4,-0.029173545337397664,0.011669418134959066
2013-04-18,0.0719914943889936,0.6,0.4,0.11998582398165601,-0.04799432959266241
2013-04-25,0.002670174674018,0.6,0.4,0.004450291123363333,-0.001780116449345333
2013-05-02,0.0120217263655554,0.6,0.4,0.020036210609259,-0.0080144842437036
2013-05-09,0.008811226694234,0.6,0.4,0.014685377823723334,-0.0058741511294893335
2013-05-16,-0.0066068417289375,0.6,0.4,-0.0110114028815625,0.004404561152625
2013-05-23,-0.0202496392683376,0.6,0.4,-0.03374939878056266,0.013499759512225065
2013-05-31,0.0260169870655273,0.6,0.4,0.04336164510921217,-0.01734465804368487
2013-06-07,-0.0156766957412662,0.6,0.4,-0.026127826235443664,0.010451130494177466
2013-06-14,-0.0107062648819254,0.6,0.4,-0.017843774803209003,0.007137509921283602
2013-06-21,0.0263124575142055,0.6,0.4,0.04385409585700917,-0.01754163834280367
2013-06-28,-0.010760656828592,0.6,0.4,-0.01793442804765333,0.007173771219061332
2013-07-08,0.0441608807432172,0.6,0.4,0.07360146790536201,-0.02944058716214481
2013-07-15,-0.0268830574161947,0.6,0.4,-0.044805095693657836,0.017922038277463137
2013-07-22,-0.000240210264785,0.6,0.4,-0.00040035044130833336,0.00016014017652333335
2013-07-29,-0.0073139014233198,0.6,0.4,-0.012189835705533,0.0048759342822132
2013-08-05,-0.0005089475834205,0.6,0.4,-0.0008482459723675001,0.00033929838894700007
2013-08-12,-0.0188033268241054,0.6,0.4,-0.03133887804017567,0.012535551216070268
2013-08-19,-0.0042308584671833,0.6,0.4,-0.007051430778638834,0.0028205723114555336
2013-08-26,0.0226836099049914,0.6,0.4,0.037806016508319,-0.015122406603327601
2013-09-03,0.0140196902937401,0.6,0.4,0.023366150489566834,-0.009346460195826734
2013-09-10,0.0028544383699055,0.6,0.4,0.0047573972831758335,-0.0019029589132703337
2013-09-17,-0.0126113446061329,0.6,0.4,-0.02101890767688817,0.00840756307075527
2013-09-24,0.0246388207017935,0.6,0.4,0.04106470116965583,-0.016425880467862333
2013-10-01,-0.0378835025440656,0.6,0.4,-0.063139170906776,0.0252556683627104
2013-10-08,0.0357058712787723,0.6,0.4,0.0595097854646205,-0.0238039141858482
2013-10-15,-0.0053033934190461,0.6,0.4,-0.0088389890317435,0.0035355956126974005
2013-10-22,-0.0041814380661464,0.6,0.4,-0.006969063443577334,0.002787625377430934
2013-10-29,0.0051416295684592,0.6,0.4,0.008569382614098666,-0.0034277530456394666
2013-11-05,0.0501381812144277,0.6,0.4,0.08356363535737951,-0.03342545414295181
2013-11-12,-0.0002337171348335,0.6,0.4,-0.00038952855805583336,0.00015581142322233335
2013-11-19,0.0384061135667061,0.6,0.4,0.0640101892778435,-0.025604075711137396
2013-11-26,-0.0018682315952079,0.6,0.4,-0.0031137193253465,0.0012454877301386002
2013-12-04,0.0193196359869756,0.6,0.4,0.032199393311626,-0.012879757324650402
2013-12-11,0.0100059903997916,0.6,0.4,0.016676650666319334,-0.006670660266527734
2013-12-18,0.0152164613826451,0.6,0.4,0.025360768971075167,-0.010144307588430067
2013-12-26,-0.007238674126004,0.6,0.4,-0.012064456876673334,0.004825782750669334
2014-01-03,0.0106140589027157,0.6,0.4,0.017690098171192836,-0.007076039268477136
2014-01-10,0.0357047931764142,0.6,0.4,0.059507988627357004,-0.023803195450942803
2014-01-17,-0.0253223225137688,0.6,0.4,-0.042203870856281335,0.016881548342512535
2014-01-27,-0.0073161185486546,0.6,0.4,-0.012193530914424334,0.004877412365769734
2014-02-03,0.0353367131772362,0.6,0.4,0.05889452196206033,-0.023557808784824136
2014-02-10,0.0330654654667625,0.6,0.4,0.055109109111270836,-0.022043643644508337
2014-02-18,0.0029733659636153,0.6,0.4,0.0049556099393588335,-0.0019822439757435336
2014-02-25,0.0162291601891658,0.6,0.4,0.027048600315276335,-0.010819440126110535
2014-03-04,-0.0365249606983462,0.6,0.4,-0.060874934497243675,0.024349973798897473
2014-03-11,-0.0043383314287449,0.6,0.4,-0.0072305523812415,0.0028922209524966
2014-03-18,-0.0441040727805889,0.6,0.4,-0.07350678796764817,0.029402715187059274
2014-03-25,0.0116159498605338,0.6,0.4,0.019359916434223,-0.0077439665736892
2014-04-01,-0.0462932029099491,0.6,0.4,-0.0771553381832485,0.030862135273299403
2014-04-08,-0.0163213684533864,0.6,0.4,-0.027202280755644,0.0108809123022576
2014-04-15,0.0059858703474309,0.6,0.4,0.0099764505790515,-0.003990580231620601
2014-04-23,0.0026259675781135,0.6,0.4,0.004376612630189167,-0.0017506450520756666
2014-04-30,0.042089300956875,0.6,0.4,0.070148834928125,-0.02805953397125
2014-05-07,-0.0045528101987767,0.6,0.4,-0.007588016997961167,0.0030352067991844672
2014-05-14,-0.0171670810815631,0.6,0.4,-0.02861180180260517,0.011444720721042068
2014-05-21,0.0058992151486157,0.6,0.4,0.009832025247692833,-0.003932810099077133
2014-05-29,0.0109171929672727,0.6,0.4,0.018195321612121167,-0.007278128644848466
2014-06-05,0.0101130260513754,0.6,0.4,0.016855043418959,-0.0067420173675836
2014-06-12,0.0255900906817582,0.6,0.4,0.04265015113626367,-0.01706006045450547
2014-06-19,-0.025126670654986,0.6,0.4,-0.041877784424976666,0.016751113769990666
2014-06-26,0.0088111871699338,0.6,0.4,0.014685311949889666,-0.005874124779955867
2014-07-03,0.0042117089359778,0.6,0.4,0.007019514893296334,-0.0028078059573185335
2014-07-11,0.0099008115188509,0.6,0.4,0.016501352531418167,-0.006600541012567266
