company_name,byma_ticker,underlying_ticker,exchange,ratio,is_us_listed,is_nasdaq,is_nyse,is_etf,tradable_from_argentina,source_file,parse_status
Petrobras (ADR),PBR,PBR,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Paccar Inc.,PCAR,PCAR,NASDAQ,3:1,True,True,False,False,True,cedears_byma_list.txt,parsed
PDD HOLDINGS INC,PDD,PDD,NASDAQ GS,25:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Pepsico Inc,PEP,PEP,NASDAQ,18:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Petrobras - Petróleo Brasileiro S.A.,PETR3,PETR3,B3,1:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Pfizer Inc.,PFE,PFE,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Procter & Gamble,PG,PG,NYSE,15:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Koninklijke Philips N.V.,PHG,PHG,NYSE,5:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Pinterest,PINS,PINS,NYSE,7:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Posco Holdings Inc.,PKS,PKS,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Palantir Technologies Inc,PLTR,PLTR,NYSE,3:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Philip Morris International,PM,PM,NYSE,18:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Petro Rio S.A.,PRIO3,PRIO3,B3,2:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Pearson Plc,PSO,PSO,NYSE,1:1,True,False,True,False,True,cedears_byma_list.txt,parsed
PROSHARES SHORT QQQ,PSQ,PSQ,NYSE ARCA,8:1,True,False,False,False,True,cedears_byma_list.txt,parsed
Phillips 66,PSX,PSX,NYSE,6:1,True,False,True,False,True,cedears_byma_list.txt,parsed
Petrochina Co Ltd,PTR,PTR,NYSE,4:1,True,False,True,False,True,cedears_byma_list.txt,parsed
"Paypal Holdings, Inc.",PYPL,PYPL,NASDAQ,8:1,True,True,False,False,True,cedears_byma_list.txt,parsed
Qualcomm Inc.,QCOM,QCOM,NASDAQ,11:1,True,True,False,False,True,cedears_byma_list.txt,parsed
INVESCO QQQ TRUST,QQQ,QQQ,NASDAQ,20:1,True,True,False,True,True,cedears_byma_list.txt,parsed
