scope,group,horizon,alpha,beta,r2,sample_size,MAE_before,MAE_after,RMSE_before,RMSE_after,bias_before,bias_after,IC_before,IC_after
volatility_quintile,"(0.00341, 0.0116]",20D,0.01731040112874403,1.6568131641133064,0.006191329284963354,1383,0.09040028932059159,0.08857011095309614,0.14766860935478776,0.14434786382149573,-0.03793490605991085,-0.022976947732825777,0.14104568892274338,0.14104568892274338
volatility_quintile,"(0.0116, 0.429]",20D,0.007327519523628464,0.27583312978985536,0.018740468237494423,1432,0.09910803709439438,0.09221922223347319,0.1463868376978331,0.13716153437660264,-0.009281666348111723,-0.018496939206279928,0.04488448386753472,0.04488448386753472
ticker,AAPL,20D,0.011202378458738277,-0.2748184498718299,0.002473175167515329,308,0.062010038234228355,0.056270770155622755,0.07244678719999774,0.06792924634508965,-0.01768500111864354,-0.005554883519085246,-0.06302056152802424,0.06302056152802424
ticker,ADBE,20D,0.0004399719677954262,0.29597720704678554,0.005455876547624805,308,0.07525148799469451,0.07499217984234172,0.09429318976883222,0.09354678157436284,0.03195027773763925,0.033161086565228176,-0.029036635006784262,-0.029036635006784262
ticker,AMAT,20D,0.010185538552975281,0.3292358304459026,0.002230173302169902,308,0.12415988704826535,0.11809094031266218,0.1479581388442095,0.14189792990259206,-0.06454578001199987,-0.05858753961996941,0.10376787391712766,0.10376787391712766
ticker,AMD,20D,0.006272920985700445,0.3831460462367915,0.0009245888634336064,308,0.18714360770140467,0.18271928938368326,0.259452184498925,0.2552318928331396,-0.09721875595008352,-0.1025426263466797,-0.17269596075566226,-0.17269596075566226
ticker,AMZN,20D,0.015202940423807204,-0.6323605465068157,0.004474307086324902,308,0.07104127954352779,0.07230499374964702,0.0921055966229056,0.09394950933862722,-0.010637869138659259,0.005597366200033692,0.32366141321365205,-0.32366141321365205
ticker,AVGO,20D,0.04096527420141491,-0.2260191715340691,0.003011127248962353,308,0.10837420257344191,0.10448323146388136,0.13872215400143595,0.12964811110718436,-0.04350322725418898,-0.005253764029700503,0.0835612149044985,-0.0835612149044985
ticker,CCJ,20D,0.029762479652851767,-0.10178775364205275,0.00036347975097972274,308,0.10971346316048809,0.11516569461308468,0.14589150787194802,0.14550299980590098,-0.0439868727326202,-0.029295951584709365,0.3324705145600669,-0.3324705145600669
ticker,COST,20D,0.02051882631220713,0.04081786931263441,8.709709100440666e-05,308,0.04184932613198478,0.04549471235960815,0.05839974814623481,0.05793396333360082,0.0030565667631057237,0.021819585359686415,0.10297463730299551,0.10297463730299551
ticker,CSCO,20D,0.0027748518262119748,0.24783064757208365,0.0024841931222171487,308,0.07385653351496152,0.0695588681827534,0.11043106258517484,0.10483359449583869,-0.04443508448040359,-0.04227100459280437,-0.4347562884876318,-0.4347562884876318
ticker,GOOGL,20D,0.011657970350614479,-0.17262144626124154,0.0008401609870581916,308,0.09158503956693137,0.089741743361362,0.11210201902862442,0.11020900738132304,-0.033914989639037864,-0.037836309163095924,0.031625091326583865,-0.031625091326583865
ticker,INTC,20D,-0.015272742113695026,0.7135280746260688,0.007912635615012875,308,0.19556466157135582,0.19728780688239655,0.2953127797993492,0.2976255361935407,-0.11243395850937653,-0.13313925953742478,0.07358313328462585,0.07358313328462585
ticker,META,20D,0.028425843772513986,0.0600735916744114,0.0001538208400930774,308,0.07916855112443093,0.08647335165811697,0.101123464133511,0.10501419643144745,0.004201203854749966,0.03304601265009,0.04577810249452042,0.04577810249452042
ticker,MSFT,20D,0.010717216124859857,-0.7829315635676548,0.01918119614552516,308,0.05658975984985013,0.06327220478836193,0.07670982731750552,0.08048133677422827,-0.0030689034327340153,0.00730051763843236,0.1594614340882998,-0.1594614340882998
ticker,NFLX,20D,0.027756840416310623,1.197295298431448,0.014603945714456223,308,0.07792297814387156,0.08756919495093943,0.10052925334766523,0.10836409317344532,0.01043366906869973,0.0390774612582517,0.34395157081724254,0.34395157081724254
ticker,NVDA,20D,0.048300103203739786,0.4326011886781831,0.011457513487522664,308,0.07988348723001626,0.08035173995353025,0.10407897568460601,0.09826712816588633,-0.036741021663178164,0.012180455367388864,0.14422294123786664,0.14422294123786664
ticker,PEP,20D,-0.003112819503403006,0.1815697061110263,0.001987356643649907,308,0.052298313780204296,0.04951960617324774,0.06906747181556992,0.06457347628955196,0.0014196605162993977,-0.0036143099227138754,-0.10527084855443067,-0.10527084855443067
ticker,QCOM,20D,0.003644194082955484,0.07014976203220374,0.00012060153414561459,308,0.0993211073602367,0.09676960402554469,0.16210906662736263,0.1597214546701183,-0.027729201048170195,-0.02297881360347807,-0.162676129840309,-0.162676129840309
ticker,QQQ,20D,0.010733732997033589,0.14613559137163484,0.0007750830921379182,308,0.04891587286630721,0.04595142736532471,0.06398868539617614,0.06067406936320206,-0.02277200599939359,-0.010976331615361157,0.07283164596597433,0.07283164596597433
ticker,SPY,20D,0.008046877791646975,-0.03859457449592984,9.728487375426642e-05,308,0.03838132560576392,0.03312092208208568,0.04771803286905103,0.043249063741057484,-0.017392801863372425,-0.00580425839193478,-0.15783321156455488,0.15783321156455488
ticker,TSLA,20D,0.022503886128066447,-0.39367143054980885,0.005439916163136216,308,0.10029109916949035,0.09938847313988344,0.13751247909923495,0.1362929656234453,-0.021360179478120654,0.006749965914102494,0.1048951048951049,-0.1048951048951049
ticker,TXN,20D,0.00272250215434452,0.01257704863417762,5.706723976151018e-06,308,0.11590433336555368,0.1135433197934674,0.14569997859454792,0.14360506413045057,-0.033062944778820276,-0.03571203986707662,-0.047656820791149156,-0.047656820791149156
ticker,VIST,20D,0.06957391926589705,-0.2646692933776978,0.00457660036282459,308,0.1068517649014153,0.11504646019172404,0.14150316907495497,0.14056476593099065,-0.023923441810560633,0.04034699674671971,-0.06786347980377833,0.06786347980377833
ticker,YPF,20D,0.07476283602977747,0.13531680901525414,0.0019228488685041345,308,0.12173771999206306,0.1296223206727796,0.15779478048318232,0.15723751799429814,-0.0282599238378509,0.0456533347120323,-0.1511950735831333,-0.1511950735831333
