window_start,month,monthly_return
2010-01-01,2013-12,0.03143726092912491
2010-01-01,2014-01,0.01272915199471747
2010-01-01,2014-02,0.09016067337765277
2010-01-01,2014-03,-0.05229393662412862
2010-01-01,2014-04,-0.016564318374380882
2010-01-01,2014-05,-0.002597832457452265
2010-01-01,2014-06,0.007008909213299441
2010-01-01,2014-07,-0.018313897788781452
2010-01-01,2014-08,0.0016945674016770607
2010-01-01,2014-09,-0.004907803200527416
2010-01-01,2014-10,0.021796880944913166
2010-01-01,2014-11,0.0334336416948402
2010-01-01,2014-12,-0.0023909274240142553
2010-01-01,2015-01,0.019726026556801113
2010-01-01,2015-02,0.01869518736218878
2010-01-01,2015-03,0.00044598052248479014
2010-01-01,2015-04,0.01824329455089213
2010-01-01,2015-05,-0.0283274120210405
2010-01-01,2015-06,0.006602374816067513
2010-01-01,2015-07,0.07443194040885182
2010-01-01,2015-08,-0.06458096921126721
2010-01-01,2015-09,0.009736949055371147
2010-01-01,2015-10,0.06868169449056727
2010-01-01,2015-11,0.024188785018678605
2010-01-01,2015-12,-0.06899523620896386
2010-01-01,2016-01,-0.059270550129799204
2010-01-01,2016-02,0.014906548549310505
2010-01-01,2016-03,-0.011956686806767092
2010-01-01,2016-04,0.03823900092997068
2010-01-01,2016-05,-0.00793964130821967
2010-01-01,2016-06,0.03620965537322984
2010-01-01,2016-07,0.12443037256372702
2010-01-01,2016-08,-0.0017300392654494567
2010-01-01,2016-09,0.04091553210973409
2010-01-01,2016-10,-0.023278208632055652
2010-01-01,2016-11,0.1022817351339218
2010-01-01,2016-12,0.04439431565548713
2010-01-01,2017-01,0.07658281801887612
2010-01-01,2017-02,-0.004495462000733141
2010-01-01,2017-03,0.01839559899518939
2010-01-01,2017-04,-0.013234432075974079
2010-01-01,2017-05,0.04233768489301237
2010-01-01,2017-06,-0.03818530866332093
2010-01-01,2017-07,0.056907008652643976
2010-01-01,2017-08,0.003401034538522474
2010-01-01,2017-09,0.0030222152212520115
2010-01-01,2017-10,0.06092113717407277
2010-01-01,2017-11,-0.011545464052704513
2010-01-01,2017-12,0.05469019516029272
2010-01-01,2018-01,-0.00628441525648793
2010-01-01,2018-02,0.0785333167780442
2010-01-01,2018-03,-0.03806739936155823
2010-01-01,2018-04,0.06100920163510626
2010-01-01,2018-05,0.019877286535871175
2010-01-01,2018-06,0.046851213113557666
2010-01-01,2018-07,-0.02080868391658597
2010-01-01,2018-08,0.11095675140961214
2010-01-01,2018-09,-0.007475895637887087
2010-01-01,2018-10,-0.02873858063136503
2010-01-01,2018-11,-0.06597676731096724
2010-01-01,2018-12,-0.056143658345412906
2010-01-01,2019-01,0.03289390198756492
2010-01-01,2019-02,-0.01809023892813011
2010-01-01,2019-03,0.07095862176030487
2010-01-01,2019-04,0.011646570871662432
2010-01-01,2019-05,-0.008171198603776797
2010-01-01,2019-06,-0.013068663897516597
2010-01-01,2019-07,0.011203825190478689
2010-01-01,2019-08,0.03294270150456735
2010-01-01,2019-09,-0.07461280577069485
2010-01-01,2019-10,0.0401026242067124
2010-01-01,2019-11,0.011073546166605608
2010-01-01,2019-12,0.033963875197298155
2010-01-01,2020-01,0.0036993800473388294
2010-01-01,2020-02,0.02160005964173184
2010-01-01,2020-03,-0.1609773175412973
2010-01-01,2020-04,0.07767013224091368
2010-01-01,2020-05,-0.009693330994695715
2010-01-01,2020-06,-0.01716004776129032
2010-01-01,2020-07,0.040539085404561304
2010-01-01,2020-08,-0.058955018724054176
2010-01-01,2020-09,0.04665595068650985
2010-01-01,2020-10,-0.0139949575645969
2010-01-01,2020-11,0.1599612468137337
2010-01-01,2020-12,0.1253115122110111
2010-01-01,2021-01,0.1539532032580897
2010-01-01,2021-02,0.04358466520417181
2010-01-01,2021-03,-0.05881696325701846
2010-01-01,2021-04,-0.019784813505900334
2010-01-01,2021-05,0.025740389150665788
2010-01-01,2021-06,-0.021613632033922747
2010-01-01,2021-07,0.03185586636529525
2010-01-01,2021-08,0.014308189887161094
2010-01-01,2021-09,-0.07907843592517982
2010-01-01,2021-10,0.09482812771985127
2010-01-01,2021-11,-0.047687718227316434
2010-01-01,2021-12,-0.04569905259387741
2010-01-01,2022-01,-0.1047371538747629
2010-01-01,2022-02,0.06802409082127525
2010-01-01,2022-03,0.01099733547083126
2010-01-01,2022-04,-0.1300347459364939
2010-01-01,2022-05,0.06933873374204924
2010-01-01,2022-06,-0.0703691371737204
2010-01-01,2022-07,0.005424326119437106
2010-01-01,2022-08,-0.0319516892157935
2010-01-01,2022-09,-0.05678097098069135
2010-01-01,2022-10,0.023130233497606012
2010-01-01,2022-11,0.042435116306091425
2010-01-01,2022-12,0.02520479956145616
2010-01-01,2023-01,0.08013886488021771
2010-01-01,2023-02,0.0007149741930465581
2010-01-01,2023-03,-0.03238256281381269
2010-01-01,2023-04,0.029793763376780635
2010-01-01,2023-05,0.1638989374505
2010-01-01,2023-06,-0.004322842100274671
2010-01-01,2023-07,0.05191436622125045
2010-01-01,2023-08,-0.01607255182937295
2010-01-01,2023-09,-0.005377013730063829
2010-01-01,2023-10,-0.01641269655564115
2010-01-01,2023-11,0.04804307967587862
2010-01-01,2023-12,0.03755607248268378
2010-01-01,2024-01,0.00511666499637875
2010-01-01,2024-02,0.3179900361075252
2010-01-01,2024-03,-0.04270124136880449
2010-01-01,2024-04,-0.03893876306324806
2010-01-01,2024-05,0.0516155892623511
2010-01-01,2024-06,0.009347086535797633
2010-01-01,2024-07,-0.10264712211825533
2010-01-01,2024-08,0.006581620599783067
2010-01-01,2024-09,0.013089764405187498
2010-01-01,2024-10,0.10706819227439257
2010-01-01,2024-11,0.127492817658156
2010-01-01,2024-12,0.02253810212769647
2010-01-01,2025-01,-0.01872963623865953
2010-01-01,2025-02,-0.0936834726079463
2010-01-01,2025-03,-0.030803262105895346
2010-01-01,2025-04,0.005208428649818186
2010-01-01,2025-05,-0.017533774606509955
2010-01-01,2025-06,0.058762621514627744
2010-01-01,2025-07,-0.03175953296824274
2010-01-01,2025-08,-0.005007486737966582
2010-01-01,2025-09,0.07928144113092106
2010-01-01,2025-10,0.08929426760885639
2010-01-01,2025-11,0.03389223420199561
2010-01-01,2025-12,0.03812804408880943
2010-01-01,2026-01,0.08295679511921494
2010-01-01,2026-02,-0.009045771789537027
2010-01-01,2026-03,0.04312862368495107
2010-01-01,2026-04,0.1168842699717052
2010-01-01,2026-05,0.19207545062879716
2010-01-01,2026-06,0.012374176248423518
2015-01-01,2016-01,-0.1366428499805783
2015-01-01,2016-02,0.013398553047547779
2015-01-01,2016-03,0.0330802297345103
2015-01-01,2016-04,0.027600725135602966
2015-01-01,2016-05,-0.01501556928503689
2015-01-01,2016-06,0.036699891520241446
2015-01-01,2016-07,0.11190871238291766
2015-01-01,2016-08,0.10812943362369687
2015-01-01,2016-09,0.014941416688260878
2015-01-01,2016-10,-0.029327108446203565
2015-01-01,2016-11,0.017434766697685733
2015-01-01,2016-12,0.009567544890655588
2015-01-01,2017-01,-0.003757645809975285
2015-01-01,2017-02,-0.0034751594822290954
2015-01-01,2017-03,0.059185417570840615
2015-01-01,2017-04,-0.038963128492771504
2015-01-01,2017-05,0.047474444542197736
2015-01-01,2017-06,-0.00024698659492206065
2015-01-01,2017-07,0.01780235816844189
2015-01-01,2017-08,0.011859125129573211
2015-01-01,2017-09,0.012488845520689962
2015-01-01,2017-10,0.06273793830829333
2015-01-01,2017-11,-0.02892980905105469
2015-01-01,2017-12,0.0635283532769586
2015-01-01,2018-01,-0.0007546818360975038
2015-01-01,2018-02,0.0693579913581237
2015-01-01,2018-03,-0.031640346633985184
2015-01-01,2018-04,0.02271381238733894
2015-01-01,2018-05,0.02105271331311176
2015-01-01,2018-06,0.0303746376601588
2015-01-01,2018-07,0.04811402038931911
2015-01-01,2018-08,0.13746266414990238
2015-01-01,2018-09,-0.05983453293172858
2015-01-01,2018-10,-0.018522814390681597
2015-01-01,2018-11,-0.04806861181721833
2015-01-01,2018-12,-0.03523943059114987
2015-01-01,2019-01,0.021518971864697534
2015-01-01,2019-02,0.004289300374331617
2015-01-01,2019-03,0.03989192752120796
2015-01-01,2019-04,0.0027258412010384703
2015-01-01,2019-05,0.009036072689167396
2015-01-01,2019-06,0.01658005255577888
2015-01-01,2019-07,0.0019341802430865584
2015-01-01,2019-08,-0.0048954425077634145
2015-01-01,2019-09,-0.012538121365012644
2015-01-01,2019-10,0.05922052040449177
2015-01-01,2019-11,0.0035651611817502094
2015-01-01,2019-12,0.11665563005831814
2015-01-01,2020-01,0.08514139971395385
2015-01-01,2020-02,-0.03457405135101854
2015-01-01,2020-03,-0.04625443774688598
2015-01-01,2020-04,0.05301737400404538
2015-01-01,2020-05,0.015343220791959267
2015-01-01,2020-06,0.09306236325547523
2015-01-01,2020-07,-0.007118195827015006
2015-01-01,2020-08,0.037769815353669856
2015-01-01,2020-09,-0.02377171845622783
2015-01-01,2020-10,0.048971318493086224
2015-01-01,2020-11,0.2195482983969812
2015-01-01,2020-12,0.1414331402626683
2015-01-01,2021-01,0.1295820768099205
2015-01-01,2021-02,0.046642208389477746
2015-01-01,2021-03,-0.049842721199045426
2015-01-01,2021-04,-0.04022258485214247
2015-01-01,2021-05,0.04784218887790703
2015-01-01,2021-06,-0.005228110785529427
2015-01-01,2021-07,0.009672609418670985
2015-01-01,2021-08,-0.00046227708414015023
2015-01-01,2021-09,-0.03679528955976341
2015-01-01,2021-10,0.12955967909710941
2015-01-01,2021-11,-0.09223730714949085
2015-01-01,2021-12,-0.025599596643570033
2015-01-01,2022-01,-0.06155056702717854
2015-01-01,2022-02,0.0469170935255907
2015-01-01,2022-03,0.02028443525022361
2015-01-01,2022-04,-0.07841103465321353
2015-01-01,2022-05,-0.0005185655492800922
2015-01-01,2022-06,-0.08369971237878837
2015-01-01,2022-07,-0.03832875452589968
2015-01-01,2022-08,-0.04446668891306027
2015-01-01,2022-09,0.00015823686257765424
2015-01-01,2022-10,-0.05584389328610584
2015-01-01,2022-11,0.022735353579141915
2015-01-01,2022-12,0.010311394838945942
2015-01-01,2023-01,-0.035104819709049884
2015-01-01,2023-02,-0.02621388821670889
2015-01-01,2023-03,0.041186781956677354
2015-01-01,2023-04,0.03643515092230021
2015-01-01,2023-05,0.161060788305325
2015-01-01,2023-06,0.04042541366017249
2015-01-01,2023-07,0.04276103178793722
2015-01-01,2023-08,-0.03970212408413287
2015-01-01,2023-09,-0.030464492484725714
2015-01-01,2023-10,0.02263458332129109
2015-01-01,2023-11,0.03343250598557046
2015-01-01,2023-12,0.047010165273339455
2015-01-01,2024-01,0.026785994245436484
2015-01-01,2024-02,0.34135073797674886
2015-01-01,2024-03,-0.002569894629961822
2015-01-01,2024-04,-0.10026685116105505
2015-01-01,2024-05,0.04162012266600934
2015-01-01,2024-06,0.010866433646937734
2015-01-01,2024-07,-0.12306443722063976
2015-01-01,2024-08,-0.031271388003835
2015-01-01,2024-09,0.02725305867531347
2015-01-01,2024-10,0.04687336056865754
2015-01-01,2024-11,0.15448761829205027
2015-01-01,2024-12,0.051473240124086495
2015-01-01,2025-01,-0.05117536558171576
2015-01-01,2025-02,-0.06918706288696874
2015-01-01,2025-03,-0.04745090827661125
2015-01-01,2025-04,-0.06048228545628842
2015-01-01,2025-05,0.010031849641065849
2015-01-01,2025-06,-0.00535492362760126
2015-01-01,2025-07,-0.019178075904196068
2015-01-01,2025-08,-0.008353568728429517
2015-01-01,2025-09,0.05263566052716251
2015-01-01,2025-10,0.12944660460648394
2015-01-01,2025-11,0.06341925906321566
2015-01-01,2025-12,0.08032956479810927
2015-01-01,2026-01,0.010437039940913495
2015-01-01,2026-02,0.022760732522165705
2015-01-01,2026-03,-0.007209450261586703
2015-01-01,2026-04,0.1820375542446242
2015-01-01,2026-05,0.0991846290691758
2015-01-01,2026-06,0.07366324331844742
2020-01-01,2020-12,0.15269420635233022
2020-01-01,2021-01,0.23573286513321046
2020-01-01,2021-02,0.10799845823365284
2020-01-01,2021-03,-0.06616647622617489
2020-01-01,2021-04,-0.04525015514545583
2020-01-01,2021-05,0.024489688928746034
2020-01-01,2021-06,0.01533963013457651
2020-01-01,2021-07,0.041140956340737
2020-01-01,2021-08,-0.049865599555068085
2020-01-01,2021-09,-0.10265156610676773
2020-01-01,2021-10,0.04640620943316387
2020-01-01,2021-11,-0.05567938512677639
2020-01-01,2021-12,-0.02969701372027267
2020-01-01,2022-01,-0.07912673425921612
2020-01-01,2022-02,0.0928783000474187
2020-01-01,2022-03,0.03748939212873381
2020-01-01,2022-04,-0.08306057960593838
2020-01-01,2022-05,-0.04094889998035245
2020-01-01,2022-06,-0.09892097620370521
2020-01-01,2022-07,-0.06596926415000637
2020-01-01,2022-08,-0.07311593728088195
2020-01-01,2022-09,-0.050885976521611975
2020-01-01,2022-10,0.06492650371106023
2020-01-01,2022-11,-0.047271982369131105
2020-01-01,2022-12,-0.020337316351570545
2020-01-01,2023-01,0.04437276952354474
2020-01-01,2023-02,-0.05543825139601055
2020-01-01,2023-03,0.010412795066549796
2020-01-01,2023-04,-0.010039535740398398
2020-01-01,2023-05,0.12329266589328358
2020-01-01,2023-06,0.0484297805795586
2020-01-01,2023-07,-0.015593016837218476
2020-01-01,2023-08,-0.08143049453480988
2020-01-01,2023-09,0.005735916737506841
2020-01-01,2023-10,-0.0021151220438067053
2020-01-01,2023-11,0.0799803883816792
2020-01-01,2023-12,0.10096195026117827
2020-01-01,2024-01,-0.00326977800529038
2020-01-01,2024-02,0.1808753036272075
2020-01-01,2024-03,-0.025264310155022507
2020-01-01,2024-04,-0.06960173993767493
2020-01-01,2024-05,0.21809104068609142
2020-01-01,2024-06,-0.007616347263008194
2020-01-01,2024-07,0.0687830907915834
2020-01-01,2024-08,-0.027976803214621926
2020-01-01,2024-09,0.02100929768443649
2020-01-01,2024-10,-0.007227811081543134
2020-01-01,2024-11,0.17512956793430057
2020-01-01,2024-12,-0.020153903383358318
2020-01-01,2025-01,0.07453811010670353
2020-01-01,2025-02,-0.12161757451729782
2020-01-01,2025-03,-0.13293232839977087
2020-01-01,2025-04,0.07073130964195196
2020-01-01,2025-05,0.004680019166520832
2020-01-01,2025-06,0.06286184416855045
2020-01-01,2025-07,0.05367554704752231
2020-01-01,2025-08,0.0478517432862986
2020-01-01,2025-09,0.11940488040383523
2020-01-01,2025-10,0.07277965824397459
2020-01-01,2025-11,-0.004563483890144715
2020-01-01,2025-12,0.08974983056624897
2020-01-01,2026-01,-0.020521256107276065
2020-01-01,2026-02,0.024769799476446197
2020-01-01,2026-03,0.02051343116241444
2020-01-01,2026-04,0.2038064162193134
2020-01-01,2026-05,0.15463566694997777
2020-01-01,2026-06,0.04119811701554821
2022-01-03,2023-01,0.026834625353018504
2022-01-03,2023-02,-0.059529396561906256
2022-01-03,2023-03,0.011708545619740551
2022-01-03,2023-04,-0.006452788481885241
2022-01-03,2023-05,0.12745929208301288
2022-01-03,2023-06,0.007678360324004485
2022-01-03,2023-07,0.18773340886498757
2022-01-03,2023-08,-0.08051799855365216
2022-01-03,2023-09,-0.06574170782116029
2022-01-03,2023-10,-0.012072557723756594
2022-01-03,2023-11,0.07477662290216625
