model,calibration_method,threshold,sample_reduction,trades_kept,TP_rate,SL_rate,hit_rate,average_return,Sharpe,max_drawdown
gradient_boosting_small,raw,0.7,0.9174041297935103,28,0.35714285714285715,0.14285714285714285,0.42857142857142855,0.007031077521023347,0.1693231811907808,-0.626716801755774
average_probability_ensemble,platt,0.65,0.8997050147492626,34,0.29411764705882354,0.11764705882352941,0.4117647058823529,0.00439841468681434,0.11655941708612001,-0.6392575675091986
random_forest_small,raw,0.65,0.9941002949852508,2,0.0,0.0,0.0,-0.0126902621962308,0.0,-0.012690262196230817
logistic_regression,raw,0.55,0.9882005899705015,4,0.5,0.0,0.5,-0.009902347187412501,-0.327362897108225,-0.2207966979030166
random_forest_small,platt,0.7,0.9292035398230089,24,0.25,0.16666666666666666,0.3333333333333333,-0.01865502472702404,-0.7490332440384314,-0.5419370319956771
average_probability_ensemble,raw,0.6,0.9292035398230089,24,0.25,0.16666666666666666,0.3333333333333333,-0.029807335095179587,-1.057561577867496,-0.6154058793528381
gradient_boosting_small,isotonic,0.7,0.9882005899705015,4,0.5,0.5,0.5,-0.042932391699119006,-1.2516279214642334,-0.30225673745906845
random_forest_small,isotonic,0.7,0.887905604719764,38,0.15789473684210525,0.15789473684210525,0.2631578947368421,-0.026364997889055705,-1.2518602173590767,-0.7351375132849969
random_forest_small,raw,0.6,0.9646017699115044,12,0.16666666666666666,0.3333333333333333,0.16666666666666666,-0.02926023327386315,-1.454516552139295,-0.3427035609027288
logistic_regression,raw,0.6,1.0,0,,,,,,
logistic_regression,raw,0.65,1.0,0,,,,,,
logistic_regression,raw,0.7,1.0,0,,,,,,
logistic_regression,platt,0.65,1.0,0,,,,,,
logistic_regression,platt,0.7,1.0,0,,,,,,
random_forest_small,raw,0.7,1.0,0,,,,,,
gradient_boosting_small,platt,0.65,1.0,0,,,,,,
gradient_boosting_small,platt,0.7,1.0,0,,,,,,
average_probability_ensemble,raw,0.65,1.0,0,,,,,,
average_probability_ensemble,raw,0.7,1.0,0,,,,,,
average_probability_ensemble,platt,0.7,1.0,0,,,,,,
