date,model_mode,cash_weight,selected_count,realized_portfolio_return_1d,realized_portfolio_return_5d,realized_portfolio_return_10d,realized_portfolio_return_20d,realized_portfolio_return_30d,turnover,portfolio_expected_return,portfolio_expected_volatility,portfolio_expected_sharpe,gate_decision,gate_reason,exposure,year,quarter,cash_bucket,volatility_regime,correlation_proxy_regime
2022-10-12,regime_gated_full_quant,0.5,4,0.0159399551658231,0.0225373557298685,0.0805905754563008,0.0500975748590716,0.0820713183315168,0.4,0.0011845608938199,0.0232444669146325,0.0509609834534121,fallback_baseline,risk_off_regime,0.5,2022,2022Q4,high_cash,high_volatility,high_correlation_proxy
2022-10-19,regime_gated_full_quant,0.5,4,-0.0007434458729332,0.042411806002137,0.0365916524700136,0.0473732157475121,0.0563703395516137,0.4,0.000657166916158,0.0167682620495723,0.0391911167785452,fallback_baseline,risk_off_regime,0.5,2022,2022Q4,high_cash,high_volatility,high_correlation_proxy
2022-10-26,regime_gated_full_quant,0.5,4,-0.0092297692407387,-0.0030890337992706,-0.0148355974846344,0.0083400278622902,-0.0045970449048842,0.6666666666666666,0.0019990190228091,0.0177564177271378,0.1125800853262204,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q4,high_cash,high_volatility,high_correlation_proxy
2022-11-02,regime_gated_full_quant,0.8,4,-0.0007121013206389,-0.0135829142044575,-0.0018498759439722,0.0130460217052879,-0.0057815300590277,0.6666666666666666,0.0028608781843406,0.0262715719700616,0.1088963457383061,fallback_baseline,weak_market_breadth,0.19999999999999996,2022,2022Q4,high_cash,normal_volatility,normal_correlation_proxy
2022-11-09,regime_gated_full_quant,0.5,4,0.0342129924107588,0.0527685843650782,0.0454569403216101,0.0400207046901868,0.0567832066929644,0.6666666666666666,0.0002174824262006,0.0247918432370392,0.0087723379065153,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q4,high_cash,high_volatility,high_correlation_proxy
2022-11-16,regime_gated_full_quant,0.5,4,-0.0026037236973036,0.0134606215393936,0.0262642668431405,0.0181973019199562,-0.0021988421311605,0.6666666666666666,0.000561492425869,0.0268235321845372,0.0209328295023259,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q4,high_cash,high_volatility,normal_correlation_proxy
2022-11-23,regime_gated_full_quant,0.5,4,-0.0042509634942336,-0.0056732928958483,-0.0164034649669175,-0.0339885241429322,-0.0066114776054082,0.4,0.0008527085677019,0.0217768423663057,0.0391566671310111,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q4,high_cash,high_volatility,high_correlation_proxy
2022-12-01,regime_gated_full_quant,0.5,4,-0.0038795589075824,-0.0140099298028229,-0.0073693106924736,-0.0143256967183353,-0.0061207859563021,0.6666666666666666,0.0006122911791342,0.0187025591515601,0.0327383634599108,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q4,high_cash,high_volatility,high_correlation_proxy
2022-12-08,regime_gated_full_quant,0.5,4,-0.006793665092111,-0.0134393108425206,-0.0431683006022291,-0.0241078711950213,0.0298876744416059,0.6666666666666666,-2.738045110761512e-05,0.029417136550638,-0.0009307653401439,fallback_baseline,insufficient_full_quant_edge,0.5,2022,2022Q4,high_cash,high_volatility,high_correlation_proxy
2022-12-15,regime_gated_full_quant,0.8,2,0.0023214427671665,-0.000113404655329,0.0036737111044796,0.0198361097039828,0.0321604239176218,1.0,-0.0005116653499954,0.027617273456015,-0.0185270045144167,fallback_baseline,weak_market_breadth,0.19999999999999996,2022,2022Q4,high_cash,high_volatility,high_correlation_proxy
2022-12-22,regime_gated_full_quant,0.5,2,0.0062948982862192,0.01214183630758,0.0360891980852002,0.1041667566701986,0.1040849873797785,0.6666666666666666,0.0016756102408361,0.0240482656663388,0.0696769681475014,fallback_baseline,risk_off_regime,0.5,2022,2022Q4,high_cash,high_volatility,normal_correlation_proxy
2022-12-30,regime_gated_full_quant,0.5,4,-0.0180618558426138,0.0040453984911281,0.0142883418701426,-7.104404193377257e-05,0.0391055255055134,0.8,0.0013979969611726,0.0186407688311872,0.0749967436339725,fallback_baseline,risk_off_regime,0.5,2022,2022Q4,high_cash,high_volatility,high_correlation_proxy
2023-01-09,regime_gated_full_quant,0.8,4,-2.7746747253885005e-06,0.0252977358087247,0.0236793506555742,0.0225338688365956,0.0220219168169585,0.8571428571428571,0.0025640752078023,0.0268606372858518,0.0954584651330247,fallback_baseline,weak_market_breadth,0.19999999999999996,2023,2023Q1,high_cash,high_volatility,normal_correlation_proxy
2023-01-17,regime_gated_full_quant,0.5,4,-0.0289038595268089,-0.0069834380917874,-0.0111346278946179,0.0193945421789819,0.0220908714880912,0.6666666666666666,0.0042603302856893,0.0258435355327372,0.1648509075042236,fallback_baseline,insufficient_full_quant_edge,0.5,2023,2023Q1,high_cash,high_volatility,high_correlation_proxy
2023-01-24,regime_gated_full_quant,0.5,4,0.0034533174369023,0.0089786773377431,0.004385626426535,-0.0108232664751683,-0.0073723362469701,0.6666666666666666,0.0033218170352219,0.0253695817543488,0.1309370042985642,fallback_baseline,insufficient_full_quant_edge,0.5,2023,2023Q1,high_cash,high_volatility,high_correlation_proxy
2023-01-31,regime_gated_full_quant,0.5,4,0.0070685984195668,-0.0043943855961527,0.0024409875487321,-0.0185159533847833,-0.0726849848677523,0.6666666666666666,0.0017885063742313,0.0242061593515682,0.0738864166039427,fallback_baseline,insufficient_full_quant_edge,0.5,2023,2023Q1,high_cash,high_volatility,high_correlation_proxy
2023-02-07,regime_gated_full_quant,0.5,4,-0.0056451260019976,0.0011297589093644,-0.026024238113162,-0.0030475722730541,0.030433133809326,1.0,0.0049532761668041,0.0297603291271774,0.1664388907003302,allow_full_quant,risk_on_with_sufficient_confidence,0.5,2023,2023Q1,high_cash,high_volatility,high_correlation_proxy
2023-02-14,regime_gated_full_quant,0.5,4,0.0008056474340195,-0.0353642369466552,-0.0227597758737198,-0.0180970889531186,0.0219210782349151,0.6666666666666666,0.0019435430998688,0.0303644433131323,0.0640072034196733,fallback_baseline,insufficient_full_quant_edge,0.5,2023,2023Q1,high_cash,high_volatility,high_correlation_proxy
2023-02-22,regime_gated_full_quant,0.5,2,0.0028501623206256,0.0057372197115603,-0.0032522608015757,0.0298139936939033,0.0398491695858053,0.8,0.0010874278741061,0.0339480825767933,0.0320320852185486,fallback_baseline,insufficient_full_quant_edge,0.5,2023,2023Q1,high_cash,high_volatility,high_correlation_proxy
2023-03-01,regime_gated_full_quant,0.5,4,0.0029457637244407,0.0232859518891335,0.0080547144883395,0.0674216969415388,0.0936722927497557,0.8,0.0016990563718798,0.0284835870153286,0.0596503653477881,fallback_baseline,insufficient_full_quant_edge,0.5,2023,2023Q1,high_cash,high_volatility,high_correlation_proxy
2023-03-08,regime_gated_full_quant,0.5,4,-0.0046988120444128,-0.0150804957736224,-0.0038575109570081,0.0457699047543515,0.0563272717414194,0.4,0.0016616883011191,0.0199091557672074,0.0834635240463663,fallback_baseline,risk_off_regime,0.5,2023,2023Q1,high_cash,high_volatility,high_correlation_proxy
2023-03-15,regime_gated_full_quant,0.5,4,0.0252402439491964,0.0243880001910505,0.0463496103699499,0.0432703200652706,0.0285597252423532,1.0,0.0002997918826441,0.0329717955066199,0.0090923735889335,fallback_baseline,risk_off_regime,0.5,2023,2023Q1,high_cash,high_volatility,high_correlation_proxy
2023-03-22,regime_gated_full_quant,0.5,4,0.0093808861302509,0.0018968001805452,0.0056647145693663,0.0069070003497733,0.0100120888489398,0.8571428571428571,0.0005993917743659,0.0227700802705536,0.0263236566250109,fallback_baseline,insufficient_full_quant_edge,0.5,2023,2023Q1,high_cash,high_volatility,high_correlation_proxy
